user,followers_count,friends_count,retweet_count,favorite_count,text
crappywall,604,1130,9,0,"RT @nikki_miumiu: #HongKong communist govt learn pretty fast.
Chairman of Chinese Manufacturers' Association of Hong Kong Allen Shi suggest…"
MonaSmitte,338,5000,2,0,"RT @tripperhead: For those who have arrived in Hong Kong from Singapore and are under 7 days hotel quarantine (due to vaccine discount), wi…"
JLC08027497,17,504,2,0,"RT @tripperhead: For those who have arrived in Hong Kong from Singapore and are under 7 days hotel quarantine (due to vaccine discount), wi…"
tripperhead,5508,366,2,6,For those who have arrived in Hong Kong from Singapore and are under 7 days hotel quarantine (due to vaccine discou… https://t.co/g0IY4imsLW
haln_voice,60,157,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
ArcherMail,830,1086,0,0,@SCMPNews The low vaccine take up really isn't the reason nobody is coming to Hong Kong
unfakingnews,696,77,2,0,"RT @firstdraftnews: In the second of First Draft's series on online narratives about China’s vaccines, @estherswchan examines the reasons w…"
firstdraftnews,35741,2026,2,2,"In the second of First Draft's series on online narratives about China’s vaccines, @estherswchan examines the reaso… https://t.co/nv8fC3S5lB"
eikotoda,215,106,0,1,"@Byron_Wan I never contemplated it until now, but Orbán and Szijjártó are virtually silent on this issue while they… https://t.co/MdXVVLVqbt"
Jack27688344,6848,4273,9,0,"RT @nikki_miumiu: #HongKong communist govt learn pretty fast.
Chairman of Chinese Manufacturers' Association of Hong Kong Allen Shi suggest…"
tobi233333,5,27,0,1,"@SSS_AFRIDI @AmbNong @ISSIslamabad I have to tell you in the very beginning, a lot of Chinese also discussed bring… https://t.co/e4fhiIhF8q"
jahardman,2413,1730,0,0,And vaccine hesitancy is high in Hong Kong. We need to flip the social stigmas here and make it a stigma not to be… https://t.co/TsxypPXBha
DrRimmer,16850,18493,1,0,Taiwan mobilises diplomats to seek out faster COVID-19 vaccine delivery amid rising cases https://t.co/xRjT8n7ENr… https://t.co/j94oANHEbs
V1gxoTAn9X2px15,65,177,9,0,"RT @nikki_miumiu: #HongKong communist govt learn pretty fast.
Chairman of Chinese Manufacturers' Association of Hong Kong Allen Shi suggest…"
GoogleNewsPost,169,32,0,1,"Singapore approves Covid vaccine for youngsters elderly 12 to 15 as instances surge
https://t.co/oPJcqO4Cgp...
https://t.co/2iO80OPJnf"
tweet4852,502,2388,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
shaheenbudhrani,666,1557,0,0,"Fantastic analysis on vaccine hesitancy in Hong Kong, despite the city being one of the best in the world at handli… https://t.co/XRPHlvafL3"
Ausshot3Dave,5165,4862,0,0,"This is an example of why we need an MMT focus in Australia. With it, our government could fund the infrastructure… https://t.co/zYBZpU5Nk7"
_techtalkng,185,248,0,0,"RT @Quicktake “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots… https://t.co/Ckj492nVti"
eatatjoe2,4433,3702,2,0,RT @abcnews: Taiwan mobilises diplomats to seek out faster COVID-19 vaccine delivery amid rising cases  https://t.co/mXIJ1Tl1va
abcnews,1784286,1198,2,13,Taiwan mobilises diplomats to seek out faster COVID-19 vaccine delivery amid rising cases  https://t.co/mXIJ1Tl1va
Mag_HR,24467,767,0,0,"#HRNews Deloitte is the first company that joined the HK government's outreach COVID-19 vaccination scheme, with ab… https://t.co/eiubargwNo"
brukkia,942,4793,16,0,"RT @dwnews: • Biden administration announced support for lifting coronavirus vaccine patent protections
• Hong Kong democracy activist Josh…"
SelectJournal,751,209,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
darthton,326,205,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
k1ka1der,41,4982,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
Nvania,2510,4952,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
glitchbotio,1188,342,10,0,"RT @Quicktake: “They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong, in part…"
Quicktake,1253818,1483,10,15,"“They think there’s some kind of hidden agenda.”

Millions of people are refusing free #Covid19 shots in Hong Kong,… https://t.co/rNDbwqHBLx"
_techtalkng,185,248,0,0,"RT @Quicktake “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” som… https://t.co/Ea2D3clP7L"
NikiArya_20,94,150,9,0,"RT @nikki_miumiu: #HongKong communist govt learn pretty fast.
Chairman of Chinese Manufacturers' Association of Hong Kong Allen Shi suggest…"
xiaoxianbetty,328,562,9,0,"RT @nikki_miumiu: #HongKong communist govt learn pretty fast.
Chairman of Chinese Manufacturers' Association of Hong Kong Allen Shi suggest…"
nikki_miumiu,18215,592,9,11,"#HongKong communist govt learn pretty fast.
Chairman of Chinese Manufacturers' Association of Hong Kong Allen Shi s… https://t.co/PKNRQBKyNZ"
