index,Participant,heritage,Text on-off,Audio on-off,ROI,saccard_distance,saccard_distance,saccard_distance,saccard_distance,saccade_duration,saccade_duration,saccade_duration
,,,,,,count,sum,mean,std,sum,mean,std
0,exp_1,Scene1,Off,Off,Culturual  Heritage,195,53.36235402256762,0.2736530975516288,0.33605639130892323,51.36000000000004,0.2633846153846156,0.36957321550372635
1,exp_1,Scene1,Off,Off,Others,2,1.1405641310474475,0.5702820655237237,0.4964684395648839,1.8999999999999986,0.9499999999999993,0.8343860018001259
2,exp_1,Scene1,Off,Off,Tamed nature,8,3.8228259807082066,0.4778532475885258,0.4338313678563518,3.2400000000000055,0.4050000000000007,0.28520669196717136
3,exp_1,Scene1,Off,Off,Urban,38,7.736483784992056,0.20359167855242252,0.2962911077703484,7.539999999999991,0.19842105263157872,0.2696697310955239
4,exp_1,Scene2,Off,On,Culturual  Heritage,275,55.644269857323756,0.20234279948117728,0.27943399245371753,45.15999999999997,0.1642181818181817,0.22614434790985274
5,exp_1,Scene2,Off,On,Nature,4,0.44540673762759264,0.11135168440689816,0.11016958067601393,1.0400000000000027,0.2600000000000007,0.2856571371417138
6,exp_1,Scene2,Off,On,Tamed nature,9,3.629481145084522,0.4032756827871691,0.34569176896711085,2.6799999999999864,0.29777777777777625,0.22415272571272812
7,exp_1,Scene3,On,Off,Culturual  Heritage,5,1.9046621442330127,0.38093242884660256,0.23402331789008793,1.2000000000000028,0.24000000000000057,0.10954451150103348
8,exp_1,Scene3,On,Off,Others,2,0.1493700851836769,0.07468504259183845,0.029060950192837096,0.6599999999999966,0.3299999999999983,0.014142135623728137
9,exp_1,Scene3,On,Off,Tamed nature,7,2.5720722011196004,0.3674388858742286,0.5926027908068692,3.759999999999998,0.5371428571428568,0.5693772705249807
10,exp_1,Scene3,On,Off,Text,248,33.52355594567829,0.1351756288132189,0.17582876682404852,34.71999999999996,0.13999999999999985,0.20624265414473333
11,exp_1,Scene3,On,Off,Urban,28,7.1512956440416,0.2554034158586286,0.3268315697553894,10.260000000000034,0.3664285714285726,0.40254941528467264
12,exp_1,Scene4,On,On,Culturual  Heritage,30,7.501083827620673,0.25003612758735577,0.36484731511412516,6.679999999999987,0.22266666666666624,0.37474527747325276
13,exp_1,Scene4,On,On,Others,4,3.3171321680578716,0.8292830420144679,0.7223425352995446,3.7800000000000047,0.9450000000000012,0.42657551109582703
14,exp_1,Scene4,On,On,Tamed nature,6,1.8742344173007153,0.3123724028834525,0.17591119435721428,1.3800000000000097,0.23000000000000162,0.12181953866272642
15,exp_1,Scene4,On,On,Text,215,47.307310769549254,0.22003400357929886,0.28887678907355735,39.07999999999997,0.18176744186046498,0.2642263293856644
16,exp_1,Scene4,On,On,Urban,17,2.572799543812841,0.15134114963604947,0.3175413053108467,3.0199999999999836,0.17764705882352844,0.30609494874476334
17,exp_1,Scene5,Off,Off,Culturual  Heritage,133,23.191664736268503,0.174373419069688,0.27097146481238166,25.320000000000025,0.19037593984962425,0.22981681115499566
18,exp_1,Scene5,Off,Off,Nature,16,3.781423909981682,0.23633899437385514,0.4443923391039106,3.819999999999993,0.23874999999999957,0.37018688973724173
19,exp_1,Scene5,Off,Off,Others,66,13.144834197877326,0.19916415451329283,0.30999102544732193,15.780000000000006,0.2390909090909092,0.33927400894682913
20,exp_1,Scene5,Off,Off,Tamed nature,13,3.643910279331135,0.28030079071777964,0.20009519555260813,5.439999999999989,0.4184615384615376,0.4195602093034684
21,exp_1,Scene5,Off,Off,Urban,50,11.170623294309857,0.22341246588619715,0.27290816143569807,10.820000000000048,0.21640000000000095,0.2462018418671467
22,exp_1,Scene6,Off,On,Culturual  Heritage,245,45.59143470995325,0.18608748861205407,0.30794231165228925,46.82000000000003,0.19110204081632665,0.2766915372000253
23,exp_1,Scene6,Off,On,Others,3,0.5854268961513918,0.1951422987171306,0.17302362519925205,1.0400000000000027,0.34666666666666757,0.38591881702416825
24,exp_1,Scene6,Off,On,Tamed nature,19,5.306786464922331,0.2793045507853858,0.28703348723536526,4.3200000000000145,0.22736842105263233,0.20179313129107482
25,exp_1,Scene7,On,Off,Culturual  Heritage,141,20.516129664037795,0.1455044657023957,0.2678538888081804,19.08,0.1353191489361702,0.16314127616223287
26,exp_1,Scene7,On,Off,Others,1,0.9782068595138761,0.9782068595138761,,1.3599999999999994,1.3599999999999994,
27,exp_1,Scene7,On,Off,Text,182,25.015997810235195,0.1374505374188747,0.16658567349200012,25.339999999999986,0.13923076923076916,0.18579814847355342
28,exp_1,Scene8,On,On,Others,29,10.480245669594893,0.3613877817101687,0.36559109064673306,6.8999999999999755,0.23793103448275776,0.2788929557880179
29,exp_1,Scene8,On,On,Text,252,48.18970549862786,0.19122899007392008,0.2829615166458875,43.88000000000004,0.17412698412698427,0.27212684481205146
30,exp_1,Scene8,On,On,Urban,7,1.6122872536204649,0.23032675051720927,0.17620872375929753,1.4600000000000009,0.20857142857142869,0.15571647005894693
31,exp_12,Scene1,Off,On,Culturual  Heritage,169,52.99145097530014,0.3135588815106517,0.3255195078873588,68.14000000000006,0.4031952662721897,0.5579355791250886
32,exp_12,Scene1,Off,On,Tamed nature,5,1.7814693469929688,0.35629386939859375,0.2904373526015935,2.8599999999999994,0.5719999999999998,0.39939954932373256
33,exp_12,Scene1,Off,On,Urban,1,0.6854275964680734,0.6854275964680734,,0.7600000000000016,0.7600000000000016,
34,exp_12,Scene2,On,Off,Culturual  Heritage,28,10.920757332839221,0.3900270476014008,0.337689598864893,8.64,0.3085714285714286,0.33250691204972976
