Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_20,Scene7,On,On,0.0400,0.1000,0.0600,-0.4358,-0.1869,0.8804,Text
exp_20,Scene7,On,On,0.1400,0.2400,0.1000,-0.4305,-0.1980,0.8806,Text
exp_20,Scene7,On,On,0.3000,0.5400,0.2400,-0.5071,-0.1863,0.8415,Text
exp_20,Scene7,On,On,0.6400,0.8400,0.2000,-0.4043,-0.1822,0.8963,Text
exp_20,Scene7,On,On,0.8800,1.0200,0.1400,-0.2940,-0.1816,0.9384,Text
exp_20,Scene7,On,On,1.0600,1.2000,0.1400,-0.2910,-0.1747,0.9406,Text
exp_20,Scene7,On,On,1.2800,1.4000,0.1200,-0.4141,-0.1701,0.8942,Text
exp_20,Scene7,On,On,1.4400,1.7000,0.2600,-0.4731,-0.1685,0.8647,Text
exp_20,Scene7,On,On,1.7400,2.0200,0.2800,-0.3927,-0.1644,0.9048,Text
exp_20,Scene7,On,On,2.1400,2.2200,0.0800,-0.2618,-0.1579,0.9521,Text
exp_20,Scene7,On,On,2.3400,2.4600,0.1200,-0.1002,-0.1470,0.9840,Text
exp_20,Scene7,On,On,2.5000,2.5800,0.0800,-0.0749,-0.1740,0.9819,Text
exp_20,Scene7,On,On,2.7000,2.7800,0.0800,0.0929,-0.1515,0.9841,Text
exp_20,Scene7,On,On,2.8200,2.8800,0.0600,0.1070,-0.1740,0.9789,Text
exp_20,Scene7,On,On,2.9200,3.1200,0.2000,0.1882,-0.1616,0.9687,Text
exp_20,Scene7,On,On,3.1600,3.3200,0.1600,0.1551,-0.1645,0.9741,Text
exp_20,Scene7,On,On,3.4000,3.6600,0.2600,0.2537,-0.1465,0.9561,Text
exp_20,Scene7,On,On,3.8800,3.9400,0.0600,-0.1372,0.1046,0.9850,Culturual  Heritage
exp_20,Scene7,On,On,4.4400,4.5000,0.0600,-0.3454,0.5163,0.7837,Others
exp_20,Scene7,On,On,4.5400,4.6600,0.1200,-0.3413,0.5259,0.7790,Others
exp_20,Scene7,On,On,4.7000,4.8400,0.1400,-0.4021,0.5097,0.7606,Others
exp_20,Scene7,On,On,4.9000,4.9600,0.0600,-0.2383,0.5800,0.7789,Others
exp_20,Scene7,On,On,5.0200,5.1000,0.0800,-0.3071,0.5598,0.7696,Others
exp_20,Scene7,On,On,5.4400,5.5000,0.0600,-0.3405,0.5912,0.7311,Text
exp_20,Scene7,On,On,5.6200,5.9400,0.3200,-0.3557,0.5906,0.7243,Text
exp_20,Scene7,On,On,6.0200,6.0800,0.0600,-0.2294,0.5996,0.7667,Others
exp_20,Scene7,On,On,6.2000,6.2800,0.0800,-0.1414,0.7227,0.6765,Others
exp_20,Scene7,On,On,6.9200,7.1200,0.2000,0.3081,0.5769,0.7565,Text
exp_20,Scene7,On,On,7.4400,7.5200,0.0800,0.6037,0.6253,0.4945,Text
exp_20,Scene7,On,On,7.6000,7.6600,0.0600,0.6070,0.7071,0.3627,Text
exp_20,Scene7,On,On,7.7000,7.7600,0.0600,0.6790,0.6422,0.3556,Text
exp_20,Scene7,On,On,8.0600,8.1400,0.0800,0.6360,0.6520,0.4128,Text
exp_20,Scene7,On,On,8.2000,8.3200,0.1200,0.6957,0.6751,0.2453,Text
exp_20,Scene7,On,On,8.3600,8.4800,0.1200,0.7080,0.6806,0.1883,Text
exp_20,Scene7,On,On,8.7800,8.8800,0.1000,0.6585,0.6599,0.3618,Text
exp_20,Scene7,On,On,8.9200,8.9800,0.0600,0.6851,0.6545,0.3199,Text
exp_20,Scene7,On,On,9.0200,9.1000,0.0800,0.6604,0.6523,0.3721,Text
exp_20,Scene7,On,On,9.1600,9.2200,0.0600,0.6691,0.6663,0.3293,Text
exp_20,Scene7,On,On,9.4200,9.5200,0.1000,0.6577,0.6453,0.3885,Text
exp_20,Scene7,On,On,9.5600,9.6200,0.0600,0.6715,0.6610,0.3350,Text
exp_20,Scene7,On,On,9.9800,10.1000,0.1200,0.7241,0.6717,0.1565,Text
exp_20,Scene7,On,On,10.1400,10.2800,0.1400,0.7134,0.6657,0.2188,Text
exp_20,Scene7,On,On,10.3200,10.4400,0.1200,0.7210,0.6598,0.2115,Text
exp_20,Scene7,On,On,10.4800,10.5600,0.0800,0.7324,0.6640,0.1507,Text
exp_20,Scene7,On,On,10.6400,10.8600,0.2200,0.7426,0.6680,0.0471,Text
exp_20,Scene7,On,On,11.0600,11.1600,0.1000,0.7390,0.6688,-0.0806,Text
exp_20,Scene7,On,On,11.2000,11.5400,0.3400,0.7235,0.6666,-0.1792,Text
exp_20,Scene7,On,On,11.5800,11.8400,0.2600,0.7359,0.6602,-0.1504,Text
exp_20,Scene7,On,On,11.8800,11.9400,0.0600,0.7439,0.6520,-0.1467,Text
exp_20,Scene7,On,On,11.9800,12.2600,0.2800,0.7300,0.6473,-0.2192,Text
exp_20,Scene7,On,On,12.3200,12.4000,0.0800,0.6319,0.7747,-0.0255,Others
exp_20,Scene7,On,On,12.4800,12.6200,0.1400,0.7152,0.6409,0.2788,Text
exp_20,Scene7,On,On,12.6800,12.7600,0.0800,0.7024,0.6219,0.3461,Text
exp_20,Scene7,On,On,12.8200,13.1600,0.3400,0.7102,0.6087,0.3537,Text
exp_20,Scene7,On,On,13.3800,13.4400,0.0600,0.7415,0.6232,0.2484,Text
exp_20,Scene7,On,On,13.4800,13.6000,0.1200,0.7371,0.6196,0.2697,Text
exp_20,Scene7,On,On,13.6400,13.7400,0.1000,0.7460,0.6299,0.2159,Text
exp_20,Scene7,On,On,13.7800,13.8400,0.0600,0.7506,0.6421,0.1559,Text
exp_20,Scene7,On,On,13.9200,14.0000,0.0800,0.7032,0.6108,0.3640,Text
exp_20,Scene7,On,On,14.0400,14.1000,0.0600,0.7295,0.6131,0.3034,Text
exp_20,Scene7,On,On,14.1400,14.4200,0.2800,0.7189,0.6105,0.3325,Text
exp_20,Scene7,On,On,14.5200,14.6800,0.1600,0.7559,0.6414,0.1312,Text
exp_20,Scene7,On,On,14.9800,15.0400,0.0600,0.7678,0.6327,-0.1014,Text
exp_20,Scene7,On,On,15.0800,15.1800,0.1000,0.7799,0.6207,-0.0802,Others
exp_20,Scene7,On,On,15.2200,15.3600,0.1400,0.7690,0.6286,-0.1163,Text
exp_20,Scene7,On,On,15.4000,15.5400,0.1400,0.7654,0.6194,-0.1744,Text
exp_20,Scene7,On,On,15.7000,15.9600,0.2600,0.7554,0.6049,-0.2518,Text
exp_20,Scene7,On,On,16.0600,16.1400,0.0800,0.6688,0.7434,-0.0100,Text
exp_20,Scene7,On,On,16.2400,16.3400,0.1000,0.7565,0.6079,-0.2413,Text
exp_20,Scene7,On,On,16.6000,16.7000,0.1000,0.7809,0.5655,-0.2652,Others
exp_20,Scene7,On,On,16.9800,17.1200,0.1400,0.7865,0.5605,-0.2593,Others
exp_20,Scene7,On,On,17.2400,17.3000,0.0600,0.7941,0.5474,-0.2640,Others
exp_20,Scene7,On,On,17.5400,17.6600,0.1200,0.6964,0.5612,0.4474,Others
exp_20,Scene7,On,On,17.7000,17.7800,0.0800,0.7201,0.5660,0.4013,Others
exp_20,Scene7,On,On,17.9000,18.0000,0.1000,0.7433,0.5806,0.3322,Others
exp_20,Scene7,On,On,18.1000,18.1800,0.0800,0.7450,0.5826,0.3249,Others
exp_20,Scene7,On,On,18.2400,18.3600,0.1200,0.7789,0.6019,0.1762,Others
exp_20,Scene7,On,On,18.4000,18.4600,0.0600,0.7853,0.6097,0.1076,Others
exp_20,Scene7,On,On,18.5000,18.5600,0.0600,0.8003,0.5991,0.0231,Others
exp_20,Scene7,On,On,18.6000,18.7600,0.1600,0.7939,0.6080,0.0087,Others
exp_20,Scene7,On,On,18.8600,18.9200,0.0600,0.8059,0.5895,-0.0558,Others
exp_20,Scene7,On,On,19.0200,19.1000,0.0800,0.7929,0.6059,-0.0650,Others
exp_20,Scene7,On,On,19.1800,19.2400,0.0600,0.7910,0.5965,-0.1360,Others
exp_20,Scene7,On,On,19.2800,19.3800,0.1000,0.7795,0.5846,-0.2251,Others
exp_20,Scene7,On,On,19.5000,19.5600,0.0600,0.7950,0.5671,-0.2152,Others
