Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_38,Scene4,Off,Off,0.2000,0.2600,0.0600,-0.2004,0.3338,0.9211,Culturual  Heritage
exp_38,Scene4,Off,Off,0.4000,0.5800,0.1800,-0.0251,0.4666,0.8841,Culturual  Heritage
exp_38,Scene4,Off,Off,0.7000,0.7600,0.0600,-0.0256,0.3680,0.9295,Culturual  Heritage
exp_38,Scene4,Off,Off,0.8000,0.8800,0.0800,-0.0464,0.3451,0.9374,Culturual  Heritage
exp_38,Scene4,Off,Off,1.0000,1.0800,0.0800,-0.1303,0.3577,0.9247,Culturual  Heritage
exp_38,Scene4,Off,Off,1.2200,1.3400,0.1200,-0.0918,0.3627,0.9274,Culturual  Heritage
exp_38,Scene4,Off,Off,1.4000,1.4800,0.0800,-0.1222,0.3257,0.9375,Culturual  Heritage
exp_38,Scene4,Off,Off,1.6000,1.7200,0.1200,-0.1469,0.3607,0.9211,Culturual  Heritage
exp_38,Scene4,Off,Off,1.7600,1.8800,0.1200,-0.1604,0.3736,0.9136,Culturual  Heritage
exp_38,Scene4,Off,Off,1.9800,2.0400,0.0600,0.0035,0.3804,0.9248,Culturual  Heritage
exp_38,Scene4,Off,Off,2.0800,2.2600,0.1800,-0.0143,0.3474,0.9376,Culturual  Heritage
exp_38,Scene4,Off,Off,2.3000,2.4200,0.1200,-0.1070,0.3727,0.9218,Culturual  Heritage
exp_38,Scene4,Off,Off,2.4600,2.5400,0.0800,-0.0964,0.3700,0.9240,Culturual  Heritage
exp_38,Scene4,Off,Off,2.7200,2.7800,0.0600,-0.1980,0.3212,0.9261,Culturual  Heritage
exp_38,Scene4,Off,Off,2.8200,2.8800,0.0600,-0.2199,0.3134,0.9238,Culturual  Heritage
exp_38,Scene4,Off,Off,3.0800,3.1400,0.0600,-0.0226,0.2896,0.9569,Culturual  Heritage
exp_38,Scene4,Off,Off,3.4400,3.5000,0.0600,-0.1756,-0.0534,0.9830,Culturual  Heritage
exp_38,Scene4,Off,Off,3.8200,3.9200,0.1000,-0.1882,-0.2688,0.9446,Others
exp_38,Scene4,Off,Off,4.4400,4.5000,0.0600,-0.5713,-0.4162,0.7074,Others
exp_38,Scene4,Off,Off,5.9000,6.0200,0.1200,-0.0941,0.8553,0.5095,Others
exp_38,Scene4,Off,Off,6.1800,6.2600,0.0800,0.0127,0.9284,0.3712,Others
exp_38,Scene4,Off,Off,7.2400,7.3000,0.0600,0.6928,0.1783,0.6988,Culturual  Heritage
exp_38,Scene4,Off,Off,7.5800,7.6800,0.1000,0.8073,0.0685,0.5861,Culturual  Heritage
exp_38,Scene4,Off,Off,7.7200,7.8200,0.1000,0.8085,0.0612,0.5853,Culturual  Heritage
exp_38,Scene4,Off,Off,7.9400,8.0000,0.0600,0.6949,0.0726,0.7154,Tamed nature
exp_38,Scene4,Off,Off,8.0400,8.1600,0.1200,0.7020,0.0926,0.7061,Tamed nature
exp_38,Scene4,Off,Off,8.2400,8.3800,0.1400,0.7917,0.1837,0.5826,Culturual  Heritage
exp_38,Scene4,Off,Off,8.9600,9.1600,0.2000,0.6826,0.4801,0.5510,Culturual  Heritage
exp_38,Scene4,Off,Off,9.2000,9.2600,0.0600,0.7022,0.4610,0.5426,Culturual  Heritage
exp_38,Scene4,Off,Off,9.6200,9.7200,0.1000,0.9368,0.3347,-0.1021,Tamed nature
exp_38,Scene4,Off,Off,10.0400,10.1000,0.0600,0.9989,-0.0414,-0.0218,Tamed nature
exp_38,Scene4,Off,Off,10.8800,10.9600,0.0800,0.8412,-0.5318,-0.0976,Others
exp_38,Scene4,Off,Off,14.5200,14.5800,0.0600,-0.5710,0.8133,0.1118,Tamed nature
exp_38,Scene4,Off,Off,15.1200,15.1800,0.0600,-0.0906,0.8849,0.4568,Others
exp_38,Scene4,Off,Off,15.2200,15.2800,0.0600,-0.1123,0.8866,0.4486,Urban
exp_38,Scene4,Off,Off,15.3400,15.4400,0.1000,-0.1198,0.9567,0.2652,Others
exp_38,Scene4,Off,Off,15.6400,15.7600,0.1200,-0.0267,0.8201,0.5716,Culturual  Heritage
exp_38,Scene4,Off,Off,16.5600,16.6200,0.0600,-0.9572,-0.2352,0.1686,Tamed nature
exp_38,Scene4,Off,Off,16.7600,16.8200,0.0600,-0.9521,-0.2697,0.1443,Tamed nature
exp_38,Scene4,Off,Off,16.9200,16.9800,0.0600,-0.9106,-0.4024,0.0942,Tamed nature
