Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_25,Scene2,Off,On,0.0200,0.0800,0.0600,-0.7370,-0.0200,0.6756,Culturual  Heritage
exp_25,Scene2,Off,On,0.1200,0.2600,0.1400,-0.7175,-0.0142,0.6964,Culturual  Heritage
exp_25,Scene2,Off,On,0.3000,0.3800,0.0800,-0.7175,0.0127,0.6965,Culturual  Heritage
exp_25,Scene2,Off,On,0.4200,0.4800,0.0600,-0.6921,0.0232,0.7215,Culturual  Heritage
exp_25,Scene2,Off,On,1.7600,1.8200,0.0600,0.4052,0.0324,0.9137,Tamed nature
exp_25,Scene2,Off,On,1.8600,1.9200,0.0600,0.3988,0.0010,0.9170,Tamed nature
exp_25,Scene2,Off,On,1.9600,2.0200,0.0600,0.3725,-0.0261,0.9276,Tamed nature
exp_25,Scene2,Off,On,2.0600,2.1200,0.0600,0.3399,-0.0514,0.9390,Tamed nature
exp_25,Scene2,Off,On,2.1600,2.2400,0.0800,0.3067,-0.0760,0.9488,Tamed nature
exp_25,Scene2,Off,On,2.2800,2.4200,0.1400,0.2879,-0.0920,0.9532,Tamed nature
exp_25,Scene2,Off,On,2.4600,2.5600,0.1000,0.2922,-0.1232,0.9484,Tamed nature
exp_25,Scene2,Off,On,2.6000,2.6600,0.0600,0.2869,-0.1561,0.9452,Tamed nature
exp_25,Scene2,Off,On,3.2600,3.3400,0.0800,0.2251,-0.5007,0.8358,Tamed nature
exp_25,Scene2,Off,On,3.3800,3.7600,0.3800,0.2356,-0.5190,0.8217,Tamed nature
exp_25,Scene2,Off,On,3.8000,3.8800,0.0800,0.2301,-0.4944,0.8382,Tamed nature
exp_25,Scene2,Off,On,5.1200,5.2200,0.1000,0.8533,-0.4037,0.3300,Tamed nature
exp_25,Scene2,Off,On,5.6200,5.7400,0.1200,0.6516,0.1425,0.7450,Culturual  Heritage
exp_25,Scene2,Off,On,6.5600,6.6400,0.0800,-0.1368,0.2793,0.9504,Nature
exp_25,Scene2,Off,On,6.7400,6.8600,0.1200,-0.1103,0.2601,0.9593,Nature
exp_25,Scene2,Off,On,6.9000,7.0400,0.1400,0.0472,0.2993,0.9530,Nature
exp_25,Scene2,Off,On,7.0800,7.3400,0.2600,0.0670,0.3059,0.9497,Nature
exp_25,Scene2,Off,On,7.8000,7.8800,0.0800,-0.3441,0.1402,0.9284,Culturual  Heritage
exp_25,Scene2,Off,On,8.9800,9.0400,0.0600,-0.9410,-0.0271,-0.3374,Culturual  Heritage
exp_25,Scene2,Off,On,9.2800,9.3400,0.0600,-0.7799,-0.2355,-0.5800,Culturual  Heritage
exp_25,Scene2,Off,On,10.4800,10.5400,0.0600,0.0187,-0.0088,-0.9998,Others
exp_25,Scene2,Off,On,10.7000,10.8000,0.1000,0.0207,0.0084,-0.9998,Others
exp_25,Scene2,Off,On,11.0600,11.1200,0.0600,0.0390,-0.0611,-0.9974,Tamed nature
exp_25,Scene2,Off,On,12.2000,12.2600,0.0600,0.9457,0.0277,-0.3240,Culturual  Heritage
exp_25,Scene2,Off,On,12.5400,12.6000,0.0600,0.9627,0.1124,-0.2463,Culturual  Heritage
exp_25,Scene2,Off,On,12.7200,12.8000,0.0800,0.9668,0.0724,-0.2450,Culturual  Heritage
exp_25,Scene2,Off,On,12.8400,12.9400,0.1000,0.9242,0.0613,-0.3770,Culturual  Heritage
exp_25,Scene2,Off,On,13.2600,13.3200,0.0600,0.6550,0.2027,-0.7280,Culturual  Heritage
exp_25,Scene2,Off,On,13.7000,13.7600,0.0600,0.6173,0.2607,-0.7423,Culturual  Heritage
exp_25,Scene2,Off,On,13.8400,13.9000,0.0600,0.3599,0.1070,-0.9269,Culturual  Heritage
exp_25,Scene2,Off,On,13.9600,14.0400,0.0800,0.3375,0.0941,-0.9366,Culturual  Heritage
exp_25,Scene2,Off,On,14.1600,14.2800,0.1200,0.3602,0.0957,-0.9280,Culturual  Heritage
exp_25,Scene2,Off,On,14.3800,14.4400,0.0600,-0.1017,0.0477,-0.9937,Culturual  Heritage
exp_25,Scene2,Off,On,15.1200,15.2200,0.1000,-0.0449,-0.0537,-0.9975,Culturual  Heritage
exp_25,Scene2,Off,On,15.3400,15.4600,0.1200,-0.3129,0.0687,-0.9473,Culturual  Heritage
exp_25,Scene2,Off,On,15.6400,15.7200,0.0800,-0.3576,0.2123,-0.9094,Culturual  Heritage
exp_25,Scene2,Off,On,15.7600,15.9000,0.1400,-0.3794,0.2122,-0.9006,Culturual  Heritage
exp_25,Scene2,Off,On,15.9400,16.0000,0.0600,-0.3725,0.1911,-0.9081,Culturual  Heritage
exp_25,Scene2,Off,On,16.1400,16.3200,0.1800,-0.5326,0.0645,-0.8439,Culturual  Heritage
exp_25,Scene2,Off,On,17.1600,17.2200,0.0600,-0.1689,-0.7709,-0.6142,Culturual  Heritage
exp_25,Scene2,Off,On,17.4800,17.5400,0.0600,-0.0062,-0.8496,-0.5275,Culturual  Heritage
exp_25,Scene2,Off,On,17.9600,18.0200,0.0600,0.0409,-0.9380,-0.3441,Culturual  Heritage
exp_25,Scene2,Off,On,19.1400,19.3200,0.1800,0.8851,0.0326,-0.4643,Culturual  Heritage
exp_25,Scene2,Off,On,19.4400,19.5000,0.0600,0.9444,0.0181,-0.3283,Culturual  Heritage
exp_25,Scene2,Off,On,19.8000,19.8600,0.0600,0.9878,0.0155,0.1550,Culturual  Heritage
exp_25,Scene2,Off,On,20.2600,20.3200,0.0600,0.9295,-0.2539,0.2674,Tamed nature
exp_25,Scene2,Off,On,20.9400,21.0000,0.0600,0.9340,0.1574,-0.3208,Culturual  Heritage
exp_25,Scene2,Off,On,21.0600,21.1200,0.0600,0.9358,0.1595,-0.3143,Culturual  Heritage
exp_25,Scene2,Off,On,21.3400,21.4400,0.1000,0.7766,0.1702,-0.6066,Culturual  Heritage
exp_25,Scene2,Off,On,21.8600,21.9200,0.0600,0.5887,-0.0298,-0.8078,Culturual  Heritage
exp_25,Scene2,Off,On,22.1000,22.2000,0.1000,0.2788,-0.0188,-0.9602,Tamed nature
exp_25,Scene2,Off,On,22.4600,22.5600,0.1000,0.0840,0.0041,-0.9965,Tamed nature
exp_25,Scene2,Off,On,22.6400,22.7000,0.0600,0.0067,0.0091,-0.9999,Others
exp_25,Scene2,Off,On,22.7600,22.8400,0.0800,-0.0913,0.0868,-0.9920,Culturual  Heritage
exp_25,Scene2,Off,On,23.7200,23.8000,0.0800,-0.3410,0.1602,-0.9263,Culturual  Heritage
exp_25,Scene2,Off,On,24.1400,24.2600,0.1200,-0.2911,0.2070,-0.9340,Culturual  Heritage
exp_25,Scene2,Off,On,24.3600,24.4400,0.0800,-0.2896,0.1995,-0.9361,Culturual  Heritage
exp_25,Scene2,Off,On,24.5600,24.6600,0.1000,-0.5381,0.0257,-0.8425,Culturual  Heritage
exp_25,Scene2,Off,On,24.7000,24.8000,0.1000,-0.4944,0.0553,-0.8675,Culturual  Heritage
exp_25,Scene2,Off,On,24.8600,24.9200,0.0600,-0.5000,0.0356,-0.8653,Culturual  Heritage
exp_25,Scene2,Off,On,25.0200,25.1200,0.1000,-0.7495,0.0789,-0.6573,Culturual  Heritage
exp_25,Scene2,Off,On,25.4400,25.5000,0.0600,-0.8383,-0.1824,-0.5138,Culturual  Heritage
exp_25,Scene2,Off,On,25.5600,25.6400,0.0800,-0.8448,-0.2262,-0.4849,Culturual  Heritage
exp_25,Scene2,Off,On,25.8400,25.9600,0.1200,-0.9626,-0.0577,-0.2648,Culturual  Heritage
exp_25,Scene2,Off,On,26.1400,26.2200,0.0800,-0.9618,0.1406,-0.2348,Culturual  Heritage
exp_25,Scene2,Off,On,26.3600,26.4200,0.0600,-0.9490,0.3004,-0.0955,Culturual  Heritage
exp_25,Scene2,Off,On,26.4600,26.6400,0.1800,-0.9510,0.3015,-0.0686,Culturual  Heritage
exp_25,Scene2,Off,On,26.7400,26.8200,0.0800,-0.9087,0.2748,0.3143,Culturual  Heritage
exp_25,Scene2,Off,On,26.8600,26.9400,0.0800,-0.9001,0.2740,0.3388,Culturual  Heritage
exp_25,Scene2,Off,On,27.9600,28.0600,0.1000,-0.5751,0.1879,0.7962,Culturual  Heritage
exp_25,Scene2,Off,On,28.2600,28.3200,0.0600,-0.2593,0.1787,0.9491,Culturual  Heritage
exp_25,Scene2,Off,On,28.3800,28.4400,0.0600,-0.2581,0.1812,0.9490,Culturual  Heritage
exp_25,Scene2,Off,On,28.4800,28.5600,0.0800,-0.2535,0.1629,0.9535,Culturual  Heritage
exp_25,Scene2,Off,On,29.0800,29.2000,0.1200,-0.2267,0.0722,0.9713,Culturual  Heritage
exp_25,Scene2,Off,On,29.2600,29.3600,0.1000,-0.1347,0.1160,0.9841,Culturual  Heritage
exp_25,Scene2,Off,On,29.4600,29.5200,0.0600,-0.0465,0.1579,0.9864,Nature
exp_25,Scene2,Off,On,29.7400,29.8400,0.1000,0.2220,0.0899,0.9709,Culturual  Heritage
exp_25,Scene2,Off,On,30.1000,30.1600,0.0600,0.1198,0.2354,0.9645,Nature
exp_25,Scene2,Off,On,30.3200,30.4200,0.1000,0.0696,0.3368,0.9390,Nature
exp_25,Scene2,Off,On,30.4800,30.5400,0.0600,0.1223,0.3086,0.9433,Nature
exp_25,Scene2,Off,On,30.7000,30.7800,0.0800,-0.1827,0.3376,0.9234,Urban
exp_25,Scene2,Off,On,30.9400,31.1600,0.2200,0.1562,0.3645,0.9180,Others
exp_25,Scene2,Off,On,31.3000,31.4600,0.1600,-0.1835,0.2906,0.9391,Nature
exp_25,Scene2,Off,On,31.5000,31.6200,0.1200,-0.1739,0.3031,0.9369,Urban
exp_25,Scene2,Off,On,31.7600,31.8400,0.0800,-0.1811,0.2708,0.9454,Nature
exp_25,Scene2,Off,On,32.1000,32.2400,0.1400,0.1370,-0.0409,0.9897,Culturual  Heritage
exp_25,Scene2,Off,On,32.7400,33.1800,0.4400,0.0034,0.2313,0.9729,Nature
exp_25,Scene2,Off,On,33.6000,33.9800,0.3800,-0.1885,0.2507,0.9495,Nature
exp_25,Scene2,Off,On,34.0400,34.1800,0.1400,-0.2136,0.2953,0.9312,Urban
exp_25,Scene2,Off,On,34.2200,34.3400,0.1200,-0.1293,0.2810,0.9509,Nature
exp_25,Scene2,Off,On,34.3800,34.4800,0.1000,-0.1968,0.2087,0.9580,Nature
exp_25,Scene2,Off,On,34.5200,34.5800,0.0600,-0.2294,0.1630,0.9596,Culturual  Heritage
exp_25,Scene2,Off,On,34.6200,34.7600,0.1400,-0.2067,0.1928,0.9592,Nature
exp_25,Scene2,Off,On,34.8000,34.9000,0.1000,-0.1271,0.2317,0.9644,Nature
exp_25,Scene2,Off,On,35.2600,35.3200,0.0600,0.0653,0.2527,0.9653,Nature
exp_25,Scene2,Off,On,35.5000,35.6000,0.1000,0.3951,0.0700,0.9160,Others
exp_25,Scene2,Off,On,35.8200,35.9000,0.0800,0.0907,0.0401,0.9951,Nature
exp_25,Scene2,Off,On,36.3800,36.4400,0.0600,0.0498,0.2678,0.9622,Nature
exp_25,Scene2,Off,On,36.5200,36.5800,0.0600,0.0533,0.2528,0.9661,Nature
exp_25,Scene2,Off,On,36.7000,36.8200,0.1200,0.1211,0.2997,0.9463,Nature
exp_25,Scene2,Off,On,36.9400,37.0000,0.0600,0.1982,0.2820,0.9387,Nature
exp_25,Scene2,Off,On,37.0600,37.1800,0.1200,0.3080,0.2793,0.9095,Nature
exp_25,Scene2,Off,On,37.2200,37.3400,0.1200,0.3293,0.2619,0.9072,Nature
exp_25,Scene2,Off,On,37.6800,37.7400,0.0600,0.4853,0.3289,0.8101,Nature
exp_25,Scene2,Off,On,37.9200,38.0400,0.1200,0.5529,0.2717,0.7877,Culturual  Heritage
exp_25,Scene2,Off,On,38.3200,38.3800,0.0600,0.5445,0.0302,0.8382,Tamed nature
exp_25,Scene2,Off,On,38.4200,38.4800,0.0600,0.5407,0.0634,0.8388,Culturual  Heritage
exp_25,Scene2,Off,On,38.8600,38.9200,0.0600,0.3509,0.0259,0.9360,Tamed nature
exp_25,Scene2,Off,On,38.9800,39.0600,0.0800,0.4695,-0.0543,0.8813,Tamed nature
