Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_28,Scene3,On,On,0.1000,0.2800,0.1800,-0.1623,-0.1889,0.9685,Text
exp_28,Scene3,On,On,0.4000,0.4800,0.0800,-0.2743,-0.1806,0.9445,Text
exp_28,Scene3,On,On,0.5600,0.6200,0.0600,0.0289,0.0750,0.9968,Culturual  Heritage
exp_28,Scene3,On,On,0.7000,0.7600,0.0600,0.0629,0.0768,0.9951,Culturual  Heritage
exp_28,Scene3,On,On,0.9600,1.0200,0.0600,0.5211,0.0937,0.8483,Culturual  Heritage
exp_28,Scene3,On,On,1.2600,1.3200,0.0600,0.7592,0.3061,0.5744,Culturual  Heritage
exp_28,Scene3,On,On,1.6200,1.8200,0.2000,0.9526,0.2615,0.1555,Urban
exp_28,Scene3,On,On,2.1000,2.2200,0.1200,0.9714,0.1136,0.2084,Culturual  Heritage
exp_28,Scene3,On,On,2.3000,2.4000,0.1000,0.9693,0.1014,0.2241,Culturual  Heritage
exp_28,Scene3,On,On,2.5200,2.6200,0.1000,0.9533,0.2623,0.1494,Urban
exp_28,Scene3,On,On,2.7600,2.8200,0.0600,0.8636,0.4428,0.2410,Culturual  Heritage
exp_28,Scene3,On,On,2.8600,2.9600,0.1000,0.8542,0.4605,0.2414,Culturual  Heritage
exp_28,Scene3,On,On,3.1000,3.2400,0.1400,0.6792,0.5331,0.5044,Culturual  Heritage
exp_28,Scene3,On,On,3.4000,3.5200,0.1200,0.5174,0.5676,0.6405,Culturual  Heritage
exp_28,Scene3,On,On,3.8000,3.8600,0.0600,0.3594,0.7125,0.6026,Text
exp_28,Scene3,On,On,3.9600,4.0200,0.0600,0.1352,0.7478,0.6500,Culturual  Heritage
exp_28,Scene3,On,On,4.0600,4.1400,0.0800,0.1372,0.7604,0.6348,Text
exp_28,Scene3,On,On,4.2200,4.3200,0.1000,-0.0970,0.7604,0.6421,Text
exp_28,Scene3,On,On,4.4800,4.6200,0.1400,-0.3901,0.7149,0.5802,Text
exp_28,Scene3,On,On,4.7600,4.9200,0.1600,-0.6409,0.6051,0.4723,Text
exp_28,Scene3,On,On,5.1000,5.1600,0.0600,-0.4286,0.7499,0.5039,Text
exp_28,Scene3,On,On,5.4600,5.6000,0.1400,-0.5677,0.6780,0.4670,Text
exp_28,Scene3,On,On,5.7000,5.8000,0.1000,-0.3415,0.7610,0.5516,Text
exp_28,Scene3,On,On,5.8600,5.9200,0.0600,-0.3088,0.7744,0.5522,Text
exp_28,Scene3,On,On,6.0000,6.2200,0.2200,-0.1324,0.8129,0.5671,Text
exp_28,Scene3,On,On,6.3000,6.4400,0.1400,-0.2542,0.8987,0.3572,Culturual  Heritage
exp_28,Scene3,On,On,6.4800,6.6600,0.1800,-0.2274,0.9072,0.3539,Culturual  Heritage
exp_28,Scene3,On,On,6.7200,7.0000,0.2800,-0.2919,0.8978,0.3298,Culturual  Heritage
exp_28,Scene3,On,On,7.0600,7.2600,0.2000,-0.2904,0.9016,0.3206,Culturual  Heritage
exp_28,Scene3,On,On,7.3200,7.4800,0.1600,-0.3187,0.8901,0.3258,Culturual  Heritage
exp_28,Scene3,On,On,7.5200,7.6400,0.1200,-0.3154,0.8911,0.3263,Culturual  Heritage
exp_28,Scene3,On,On,7.8600,7.9400,0.0800,-0.2648,0.9020,0.3410,Culturual  Heritage
exp_28,Scene3,On,On,8.2800,8.3600,0.0800,0.2406,0.8120,0.5317,Others
exp_28,Scene3,On,On,8.4000,8.4800,0.0800,0.2557,0.7979,0.5459,Text
