Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_34,Scene3,Off,On,0.0200,0.1000,0.0800,-0.9977,0.0048,0.0679,Others
exp_34,Scene3,Off,On,0.7400,0.8200,0.0800,-0.4144,0.5512,0.7242,Culturual  Heritage
exp_34,Scene3,Off,On,2.0800,2.2000,0.1200,0.7058,0.3635,0.6081,Culturual  Heritage
exp_34,Scene3,Off,On,2.2400,2.4000,0.1600,0.9624,0.0908,0.2562,Culturual  Heritage
exp_34,Scene3,Off,On,2.4400,2.5200,0.0800,0.9812,0.0544,0.1852,Urban
exp_34,Scene3,Off,On,2.5600,2.6600,0.1000,0.9767,0.0417,0.2106,Culturual  Heritage
exp_34,Scene3,Off,On,2.7800,2.9200,0.1400,0.9873,-0.0063,0.1589,Others
exp_34,Scene3,Off,On,2.9600,3.0200,0.0600,0.9889,0.0095,0.1482,Others
exp_34,Scene3,Off,On,3.5600,3.6200,0.0600,0.6603,-0.0406,0.7499,Culturual  Heritage
exp_34,Scene3,Off,On,3.7200,3.7800,0.0600,0.3321,-0.0447,0.9422,Culturual  Heritage
exp_34,Scene3,Off,On,3.8600,3.9200,0.0600,0.0786,-0.0650,0.9948,Culturual  Heritage
exp_34,Scene3,Off,On,3.9600,4.0800,0.1200,0.0903,-0.0413,0.9951,Culturual  Heritage
exp_34,Scene3,Off,On,4.1600,4.2400,0.0800,-0.0152,0.0432,0.9990,Culturual  Heritage
exp_34,Scene3,Off,On,4.5200,4.5800,0.0600,-0.3516,0.0134,0.9361,Culturual  Heritage
exp_34,Scene3,Off,On,4.7000,4.7600,0.0600,-0.7193,0.0137,0.6946,Culturual  Heritage
exp_34,Scene3,Off,On,5.0000,5.0600,0.0600,-0.9415,-0.0005,0.3369,Culturual  Heritage
exp_34,Scene3,Off,On,5.2600,5.3400,0.0800,-0.9921,-0.0067,0.1256,Others
exp_34,Scene3,Off,On,5.4800,5.5800,0.1000,-0.9958,0.0042,0.0913,Others
exp_34,Scene3,Off,On,5.7200,5.8400,0.1200,-0.9987,0.0081,0.0497,Others
exp_34,Scene3,Off,On,6.0600,6.1800,0.1200,-0.9510,-0.0025,-0.3093,Tamed nature
exp_34,Scene3,Off,On,6.4800,6.5400,0.0600,-0.9975,0.0614,0.0352,Urban
exp_34,Scene3,Off,On,6.7800,6.8400,0.0600,-0.9872,0.0841,0.1358,Culturual  Heritage
exp_34,Scene3,Off,On,6.8800,6.9400,0.0600,-0.9618,0.0072,0.2738,Culturual  Heritage
exp_34,Scene3,Off,On,6.9800,7.0400,0.0600,-0.9467,0.1029,0.3053,Culturual  Heritage
exp_34,Scene3,Off,On,7.1600,7.2400,0.0800,-0.9240,0.2180,0.3141,Culturual  Heritage
exp_34,Scene3,Off,On,7.4200,7.4800,0.0600,-0.7661,0.1121,0.6329,Culturual  Heritage
exp_34,Scene3,Off,On,7.8800,7.9600,0.0800,-0.8208,0.1733,0.5443,Culturual  Heritage
exp_34,Scene3,Off,On,8.0800,8.1800,0.1000,-0.8112,0.2505,0.5284,Culturual  Heritage
exp_34,Scene3,Off,On,8.3000,8.3600,0.0600,-0.9821,-0.0067,0.1885,Others
exp_34,Scene3,Off,On,8.4600,8.6200,0.1600,-0.9956,0.0013,0.0933,Others
exp_34,Scene3,Off,On,8.6800,8.7800,0.1000,-0.8432,0.2071,0.4962,Culturual  Heritage
exp_34,Scene3,Off,On,8.9000,9.0400,0.1400,-0.9901,0.0427,0.1337,Culturual  Heritage
exp_34,Scene3,Off,On,9.4200,9.4800,0.0600,-0.9312,0.1236,0.3430,Culturual  Heritage
exp_34,Scene3,Off,On,9.6000,9.6600,0.0600,-0.9826,-0.0159,0.1853,Others
exp_34,Scene3,Off,On,9.8000,9.8600,0.0600,-0.9251,0.0189,-0.3793,Tamed nature
exp_34,Scene3,Off,On,10.1000,10.2200,0.1200,-0.7949,0.0486,-0.6047,Tamed nature
exp_34,Scene3,Off,On,10.2800,10.3600,0.0800,-0.5766,0.0593,-0.8148,Tamed nature
exp_34,Scene3,Off,On,10.4000,10.4600,0.0600,-0.6022,0.0402,-0.7973,Tamed nature
exp_34,Scene3,Off,On,11.1800,11.2400,0.0600,0.2669,0.0034,-0.9637,Urban
exp_34,Scene3,Off,On,11.3000,11.4000,0.1000,0.0134,0.0195,-0.9997,Urban
exp_34,Scene3,Off,On,11.4400,11.5000,0.0600,0.3135,0.0461,-0.9485,Urban
exp_34,Scene3,Off,On,11.5400,11.6400,0.1000,0.0127,0.0239,-0.9996,Urban
exp_34,Scene3,Off,On,11.6800,11.8400,0.1600,0.1067,-0.0602,-0.9925,Urban
exp_34,Scene3,Off,On,12.1000,12.2000,0.1000,-0.2258,-0.0404,-0.9733,Urban
exp_34,Scene3,Off,On,12.3800,12.4400,0.0600,-0.5994,-0.1154,-0.7921,Urban
exp_34,Scene3,Off,On,12.4800,12.5400,0.0600,-0.5913,-0.1224,-0.7971,Urban
exp_34,Scene3,Off,On,13.2600,13.3200,0.0600,-0.7965,-0.0877,-0.5982,Urban
exp_34,Scene3,Off,On,13.6600,13.8000,0.1400,-0.6360,0.0068,-0.7717,Tamed nature
exp_34,Scene3,Off,On,13.9800,14.0600,0.0800,-0.6879,-0.0418,-0.7246,Tamed nature
exp_34,Scene3,Off,On,14.2200,14.3600,0.1400,-0.6700,0.0131,-0.7423,Tamed nature
