Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_6,Scene8,Off,On,0.1400,0.2000,0.0600,0.7973,-0.0515,0.6014,Others
exp_6,Scene8,Off,On,0.7200,0.9200,0.2000,0.7459,0.0581,0.6635,Others
exp_6,Scene8,Off,On,1.1200,1.2400,0.1200,0.7757,0.2377,0.5846,Others
exp_6,Scene8,Off,On,1.3000,1.3600,0.0600,0.6119,0.1941,0.7668,Others
exp_6,Scene8,Off,On,1.4400,1.6000,0.1600,0.7405,0.0772,0.6676,Others
exp_6,Scene8,Off,On,2.2600,2.3600,0.1000,0.4858,0.2494,0.8377,Others
exp_6,Scene8,Off,On,2.4000,2.5800,0.1800,0.4291,0.3569,0.8298,Others
exp_6,Scene8,Off,On,2.6200,2.7600,0.1400,0.4974,0.0764,0.8642,Others
exp_6,Scene8,Off,On,2.8000,2.9600,0.1600,0.6575,0.2974,0.6923,Others
exp_6,Scene8,Off,On,3.0200,3.0800,0.0600,0.6263,0.1303,0.7686,Others
exp_6,Scene8,Off,On,3.1400,3.3400,0.2000,0.6343,0.1316,0.7618,Others
exp_6,Scene8,Off,On,3.5600,3.6800,0.1200,0.5769,-0.0579,0.8147,Others
exp_6,Scene8,Off,On,3.7200,3.7800,0.0600,0.5691,-0.0864,0.8177,Others
exp_6,Scene8,Off,On,3.9600,4.0800,0.1200,0.6766,-0.3188,0.6638,Others
exp_6,Scene8,Off,On,4.1400,4.3400,0.2000,0.5096,-0.3869,0.7685,Others
exp_6,Scene8,Off,On,4.4000,4.5800,0.1800,0.5995,0.0434,0.7992,Others
exp_6,Scene8,Off,On,4.6400,4.7000,0.0600,0.5144,-0.0651,0.8551,Others
exp_6,Scene8,Off,On,4.7400,4.9200,0.1800,0.5364,-0.0628,0.8416,Others
exp_6,Scene8,Off,On,5.0200,5.0800,0.0600,0.6019,0.0001,0.7986,Others
exp_6,Scene8,Off,On,5.4800,5.6200,0.1400,0.7043,0.0753,0.7059,Others
exp_6,Scene8,Off,On,5.6600,5.8000,0.1400,0.6083,0.0056,0.7937,Others
exp_6,Scene8,Off,On,5.8600,6.0600,0.2000,0.4614,0.1435,0.8755,Others
exp_6,Scene8,Off,On,6.1000,6.2200,0.1200,0.5561,0.2723,0.7852,Others
exp_6,Scene8,Off,On,6.2600,6.3800,0.1200,0.5968,0.0464,0.8011,Others
exp_6,Scene8,Off,On,6.5000,6.7000,0.2000,0.5738,0.2975,0.7631,Others
exp_6,Scene8,Off,On,6.7400,6.8600,0.1200,0.5807,0.0005,0.8141,Others
exp_6,Scene8,Off,On,6.9000,7.0600,0.1600,0.5669,0.2512,0.7845,Others
exp_6,Scene8,Off,On,7.1000,7.3800,0.2800,0.5552,0.2611,0.7897,Others
exp_6,Scene8,Off,On,7.4200,7.6800,0.2600,0.5492,0.2772,0.7884,Others
exp_6,Scene8,Off,On,7.8000,7.8600,0.0600,0.5564,0.2772,0.7833,Others
exp_6,Scene8,Off,On,7.9000,7.9600,0.0600,0.5428,0.2961,0.7859,Others
exp_6,Scene8,Off,On,8.0000,8.0800,0.0800,0.5271,0.3129,0.7901,Others
exp_6,Scene8,Off,On,8.5800,8.6600,0.0800,0.4123,0.1727,0.8946,Others
exp_6,Scene8,Off,On,8.7000,8.8400,0.1400,0.3889,0.1839,0.9027,Others
exp_6,Scene8,Off,On,9.5600,9.6800,0.1200,-0.3770,0.0446,0.9251,Others
exp_6,Scene8,Off,On,9.7200,9.9000,0.1800,-0.3532,0.0591,0.9337,Others
exp_6,Scene8,Off,On,9.9600,10.0600,0.1000,-0.1696,0.1620,0.9721,Others
exp_6,Scene8,Off,On,10.1600,10.4000,0.2400,-0.4916,0.1381,0.8598,Others
exp_6,Scene8,Off,On,10.4400,10.5000,0.0600,-0.2959,0.2512,0.9216,Others
exp_6,Scene8,Off,On,10.5400,10.6000,0.0600,-0.3248,0.2644,0.9081,Others
exp_6,Scene8,Off,On,10.6600,10.7400,0.0800,-0.4112,0.4104,0.8140,Others
exp_6,Scene8,Off,On,10.8200,10.9800,0.1600,-0.1701,0.5451,0.8209,Others
exp_6,Scene8,Off,On,11.1000,11.3000,0.2000,-0.1582,0.5175,0.8409,Others
exp_6,Scene8,Off,On,11.3600,11.5800,0.2200,-0.0533,0.6173,0.7849,Urban
exp_6,Scene8,Off,On,11.7200,11.8000,0.0800,-0.0148,0.6523,0.7578,Urban
exp_6,Scene8,Off,On,11.8400,11.9600,0.1200,-0.0124,0.6351,0.7723,Urban
exp_6,Scene8,Off,On,12.0200,12.1000,0.0800,0.0487,0.5470,0.8357,Others
exp_6,Scene8,Off,On,12.2400,12.3600,0.1200,-0.0120,0.3920,0.9199,Others
exp_6,Scene8,Off,On,13.1400,13.2000,0.0600,0.3367,0.3990,0.8529,Others
exp_6,Scene8,Off,On,13.4800,13.5600,0.0800,0.4811,0.0818,0.8728,Others
exp_6,Scene8,Off,On,14.2200,14.3200,0.1000,0.8016,-0.0207,0.5975,Others
exp_6,Scene8,Off,On,14.3600,14.4800,0.1200,0.8149,-0.0310,0.5788,Others
exp_6,Scene8,Off,On,14.5200,14.8000,0.2800,0.8218,-0.0478,0.5678,Others
exp_6,Scene8,Off,On,15.2400,15.3400,0.1000,0.9272,0.1168,0.3560,Others
exp_6,Scene8,Off,On,15.3800,15.4400,0.0600,0.9370,0.0996,0.3349,Others
exp_6,Scene8,Off,On,15.5600,15.6800,0.1200,0.9323,0.1324,0.3366,Others
exp_6,Scene8,Off,On,15.8600,16.1600,0.3000,0.9917,0.1072,-0.0705,Others
exp_6,Scene8,Off,On,16.3000,16.3600,0.0600,0.9969,0.0790,0.0025,Others
exp_6,Scene8,Off,On,16.4000,16.4600,0.0600,0.9982,0.0593,-0.0065,Others
exp_6,Scene8,Off,On,16.5600,16.8200,0.2600,0.8577,0.1079,-0.5027,Others
exp_6,Scene8,Off,On,16.8800,17.1600,0.2800,0.8637,0.1675,-0.4754,Others
exp_6,Scene8,Off,On,17.2000,17.4000,0.2000,0.8052,0.2338,-0.5449,Others
exp_6,Scene8,Off,On,17.4600,17.5400,0.0800,0.9067,0.0602,-0.4175,Others
exp_6,Scene8,Off,On,17.6000,17.7800,0.1800,0.8004,0.2657,-0.5374,Others
exp_6,Scene8,Off,On,17.8400,18.0600,0.2200,0.6571,0.1269,-0.7431,Others
exp_6,Scene8,Off,On,18.2400,18.3200,0.0800,-0.9858,0.1673,0.0114,Others
exp_6,Scene8,Off,On,18.3800,18.7400,0.3600,-0.9630,0.1169,0.2427,Others
exp_6,Scene8,Off,On,18.7800,18.9200,0.1400,-0.9891,0.0801,0.1238,Others
exp_6,Scene8,Off,On,18.9600,19.0200,0.0600,-0.9885,0.1002,0.1132,Others
exp_6,Scene8,Off,On,19.0800,19.1600,0.0800,-0.9604,0.2784,-0.0135,Others
exp_6,Scene8,Off,On,19.3000,19.5000,0.2000,-0.8716,0.4691,-0.1425,Others
exp_6,Scene8,Off,On,19.5800,19.7600,0.1800,-0.8059,0.5307,-0.2625,Others
exp_6,Scene8,Off,On,20.2600,20.3600,0.1000,-0.6820,0.0401,-0.7302,Others
exp_6,Scene8,Off,On,20.5400,20.6400,0.1000,-0.2958,0.0812,-0.9518,Others
exp_6,Scene8,Off,On,20.7000,20.9600,0.2600,-0.6660,-0.1595,-0.7287,Others
exp_6,Scene8,Off,On,21.0000,21.1000,0.1000,-0.6412,-0.1591,-0.7507,Others
exp_6,Scene8,Off,On,21.1400,21.2000,0.0600,-0.5318,0.0198,-0.8467,Others
exp_6,Scene8,Off,On,21.3200,21.5800,0.2600,-0.1294,0.0611,-0.9897,Urban
exp_6,Scene8,Off,On,21.6400,21.7800,0.1400,-0.1354,0.2018,-0.9700,Urban
exp_6,Scene8,Off,On,21.8200,21.9200,0.1000,-0.1157,0.2150,-0.9697,Urban
exp_6,Scene8,Off,On,22.0000,22.3800,0.3800,0.2939,0.1352,-0.9462,Others
exp_6,Scene8,Off,On,22.4600,22.8000,0.3400,0.3250,0.3323,-0.8854,Others
exp_6,Scene8,Off,On,23.0000,23.2800,0.2800,0.6595,0.1718,-0.7318,Others
exp_6,Scene8,Off,On,23.3400,23.5000,0.1600,0.8290,0.1734,-0.5318,Others
exp_6,Scene8,Off,On,23.5600,24.2000,0.6400,0.8526,0.1707,-0.4939,Others
exp_6,Scene8,Off,On,24.2600,24.4000,0.1400,0.7245,0.2929,-0.6240,Others
exp_6,Scene8,Off,On,24.4400,24.6000,0.1600,0.6987,0.1006,-0.7083,Others
exp_6,Scene8,Off,On,24.6400,24.7600,0.1200,0.6635,0.3073,-0.6821,Others
exp_6,Scene8,Off,On,24.8000,24.9200,0.1200,0.6576,0.2843,-0.6977,Others
exp_6,Scene8,Off,On,24.9800,25.1400,0.1600,0.7720,0.3269,-0.5451,Others
