Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_45,Scene2,Off,Off,0.2800,0.4200,0.1400,-0.8949,0.4031,0.1916,Culturual  Heritage
exp_45,Scene2,Off,Off,0.8600,0.9600,0.1000,-0.8617,0.5074,0.0036,Culturual  Heritage
exp_45,Scene2,Off,Off,1.0600,1.1200,0.0600,-0.9499,0.2746,0.1493,Culturual  Heritage
exp_45,Scene2,Off,Off,1.5600,1.6200,0.0600,-0.9934,-0.0625,-0.0963,Culturual  Heritage
exp_45,Scene2,Off,Off,2.9400,3.1000,0.1600,-0.0078,0.2471,-0.9690,Nature
exp_45,Scene2,Off,Off,3.5000,3.5600,0.0600,-0.0145,0.2575,-0.9662,Nature
exp_45,Scene2,Off,Off,3.7800,4.0000,0.2200,0.0044,0.4511,-0.8925,Nature
exp_45,Scene2,Off,Off,4.1000,4.1600,0.0600,-0.2506,0.0891,-0.9640,Culturual  Heritage
exp_45,Scene2,Off,Off,4.7600,4.8200,0.0600,-0.0149,0.1725,-0.9849,Nature
exp_45,Scene2,Off,Off,4.8800,4.9400,0.0600,-0.0025,0.2829,-0.9592,Nature
exp_45,Scene2,Off,Off,5.2400,5.3000,0.0600,-0.0107,0.1799,-0.9836,Nature
exp_45,Scene2,Off,Off,8.2600,8.3200,0.0600,0.2322,-0.1954,0.9528,Tamed nature
exp_45,Scene2,Off,Off,8.3600,8.4400,0.0800,0.2629,-0.2167,0.9402,Tamed nature
exp_45,Scene2,Off,Off,8.4800,8.5400,0.0600,0.2796,-0.2441,0.9286,Tamed nature
exp_45,Scene2,Off,Off,8.5800,8.9400,0.3600,0.2885,-0.2689,0.9190,Tamed nature
exp_45,Scene2,Off,Off,9.0600,9.2000,0.1400,0.2252,0.0109,0.9742,Tamed nature
exp_45,Scene2,Off,Off,9.4200,9.4800,0.0600,0.1025,0.0935,0.9903,Nature
exp_45,Scene2,Off,Off,9.5200,9.5800,0.0600,0.1071,0.0825,0.9908,Nature
exp_45,Scene2,Off,Off,9.8800,9.9600,0.0800,0.5138,0.1784,0.8392,Culturual  Heritage
exp_45,Scene2,Off,Off,10.7200,10.7800,0.0600,-0.3454,0.3407,0.8744,Others
exp_45,Scene2,Off,Off,11.0400,11.1000,0.0600,-0.5107,0.5037,0.6968,Nature
exp_45,Scene2,Off,Off,11.3000,11.3600,0.0600,-0.6297,0.6231,0.4638,Nature
exp_45,Scene2,Off,Off,13.8800,13.9400,0.0600,0.7315,-0.5157,0.4462,Tamed nature
exp_45,Scene2,Off,Off,14.7800,14.8400,0.0600,0.4063,-0.6277,0.6640,Tamed nature
exp_45,Scene2,Off,Off,14.9800,15.3400,0.3600,0.5277,-0.1353,0.8386,Tamed nature
exp_45,Scene2,Off,Off,16.0000,16.0600,0.0600,0.2926,-0.1235,0.9482,Tamed nature
exp_45,Scene2,Off,Off,16.1200,16.2400,0.1200,0.2914,-0.1334,0.9473,Tamed nature
exp_45,Scene2,Off,Off,16.2800,16.5400,0.2600,0.2947,-0.1516,0.9435,Tamed nature
exp_45,Scene2,Off,Off,16.8400,16.9000,0.0600,0.3272,-0.6121,0.7199,Tamed nature
exp_45,Scene2,Off,Off,16.9400,17.0600,0.1200,0.3487,-0.5991,0.7207,Tamed nature
exp_45,Scene2,Off,Off,17.1200,17.2000,0.0800,0.2788,-0.1340,0.9509,Tamed nature
exp_45,Scene2,Off,Off,17.2400,17.3400,0.1000,0.2485,-0.1404,0.9584,Tamed nature
exp_45,Scene2,Off,Off,17.3800,17.7400,0.3600,0.2259,-0.1343,0.9649,Tamed nature
exp_45,Scene2,Off,Off,17.8000,17.8800,0.0800,0.2163,-0.1295,0.9677,Tamed nature
exp_45,Scene2,Off,Off,18.5000,18.6000,0.1000,0.1677,-0.4095,0.8968,Tamed nature
exp_45,Scene2,Off,Off,18.6800,18.8000,0.1200,0.1936,0.0452,0.9800,Culturual  Heritage
exp_45,Scene2,Off,Off,19.1000,19.1600,0.0600,0.2945,-0.2161,0.9309,Tamed nature
exp_45,Scene2,Off,Off,20.3400,20.4800,0.1400,0.2028,-0.0367,0.9785,Others
exp_45,Scene2,Off,Off,20.5600,20.7200,0.1600,-0.0418,0.4411,0.8965,Others
exp_45,Scene2,Off,Off,20.7600,20.9000,0.1400,-0.0664,0.4534,0.8888,Others
exp_45,Scene2,Off,Off,20.9400,21.0000,0.0600,-0.0720,0.4700,0.8798,Others
exp_45,Scene2,Off,Off,21.0400,21.1000,0.0600,0.1815,-0.1147,0.9767,Tamed nature
exp_45,Scene2,Off,Off,21.1600,21.3200,0.1600,-0.0783,0.4841,0.8715,Others
exp_45,Scene2,Off,Off,21.6400,21.7800,0.1400,-0.1206,0.4484,0.8857,Others
exp_45,Scene2,Off,Off,21.8400,21.9000,0.0600,0.0295,-0.0030,0.9996,Others
exp_45,Scene2,Off,Off,22.8400,22.9000,0.0600,-0.1935,0.4284,0.8826,Others
exp_45,Scene2,Off,Off,22.9400,23.0000,0.0600,-0.1742,0.4632,0.8690,Others
exp_45,Scene2,Off,Off,23.4000,23.4600,0.0600,-0.0805,0.3592,0.9298,Others
exp_45,Scene2,Off,Off,23.5000,23.5800,0.0800,-0.0985,0.3774,0.9208,Others
exp_45,Scene2,Off,Off,24.4200,24.4800,0.0600,0.7726,0.5588,0.3014,Nature
exp_45,Scene2,Off,Off,24.6400,24.7200,0.0800,0.8761,0.4681,-0.1160,Culturual  Heritage
exp_45,Scene2,Off,Off,25.7400,25.8200,0.0800,-0.3670,0.0713,0.9275,Culturual  Heritage
exp_45,Scene2,Off,Off,26.0000,26.1200,0.1200,-0.1836,0.0578,0.9813,Culturual  Heritage
exp_45,Scene2,Off,Off,26.1600,26.2400,0.0800,-0.1734,0.0551,0.9833,Culturual  Heritage
