Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_20,Scene3,On,On,0.0200,0.1200,0.1000,-0.2427,-0.1985,0.9496,Text
exp_20,Scene3,On,On,0.2800,0.5800,0.3000,-0.1831,-0.2289,0.9561,Text
exp_20,Scene3,On,On,0.6200,0.9000,0.2800,-0.2120,-0.2218,0.9518,Text
exp_20,Scene3,On,On,0.9400,1.2000,0.2600,-0.1613,-0.2167,0.9628,Text
exp_20,Scene3,On,On,1.2400,1.3600,0.1200,-0.1889,-0.2116,0.9589,Text
exp_20,Scene3,On,On,1.4000,1.5800,0.1800,-0.2221,-0.2150,0.9510,Text
exp_20,Scene3,On,On,1.6400,1.8400,0.2000,-0.0568,-0.2108,0.9759,Text
exp_20,Scene3,On,On,1.8800,2.0000,0.1200,-0.0269,-0.2067,0.9780,Text
exp_20,Scene3,On,On,2.0400,2.2400,0.2000,0.0118,-0.1990,0.9799,Text
exp_20,Scene3,On,On,2.2800,2.5000,0.2200,0.0387,-0.2018,0.9787,Text
exp_20,Scene3,On,On,2.5400,2.8800,0.3400,0.1022,-0.1902,0.9764,Text
exp_20,Scene3,On,On,2.9200,3.1800,0.2600,0.1886,-0.1841,0.9646,Text
exp_20,Scene3,On,On,3.2200,3.3800,0.1600,0.0944,-0.1832,0.9785,Text
exp_20,Scene3,On,On,3.4200,3.5600,0.1400,0.1938,-0.1813,0.9641,Text
exp_20,Scene3,On,On,3.6800,3.8400,0.1600,-0.2590,-0.2169,0.9412,Text
exp_20,Scene3,On,On,3.8800,3.9400,0.0600,-0.2512,-0.2213,0.9423,Text
exp_20,Scene3,On,On,3.9800,4.1800,0.2000,-0.1493,-0.2295,0.9618,Text
exp_20,Scene3,On,On,4.2200,4.3000,0.0800,-0.0317,-0.2276,0.9732,Text
exp_20,Scene3,On,On,4.3400,4.4600,0.1200,-0.0028,-0.2375,0.9714,Text
exp_20,Scene3,On,On,4.5000,4.6000,0.1000,0.0402,-0.2321,0.9719,Text
exp_20,Scene3,On,On,4.6400,4.8400,0.2000,0.1248,-0.2286,0.9655,Text
exp_20,Scene3,On,On,4.8800,5.0600,0.1800,0.0733,0.1037,0.9919,Culturual  Heritage
exp_20,Scene3,On,On,5.1000,5.3000,0.2000,-0.1077,-0.2264,0.9681,Text
exp_20,Scene3,On,On,5.3400,5.5800,0.2400,-0.1269,-0.2347,0.9637,Text
exp_20,Scene3,On,On,5.6200,5.8200,0.2000,-0.0923,-0.2368,0.9672,Text
exp_20,Scene3,On,On,5.8600,6.0600,0.2000,0.0027,-0.2262,0.9741,Text
exp_20,Scene3,On,On,6.1800,6.2400,0.0600,0.1551,-0.2211,0.9628,Text
exp_20,Scene3,On,On,6.6000,6.6600,0.0600,0.8132,-0.0156,0.5818,Culturual  Heritage
exp_20,Scene3,On,On,6.8200,6.9400,0.1200,0.9308,0.0502,0.3621,Culturual  Heritage
exp_20,Scene3,On,On,6.9800,7.2400,0.2600,0.9582,0.0930,0.2705,Culturual  Heritage
