Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_5,Scene2,On,On,0.1600,0.2200,0.0600,0.6837,0.6823,-0.2589,Text
exp_5,Scene2,On,On,0.7800,0.8600,0.0800,0.5676,0.7355,0.3701,Text
exp_5,Scene2,On,On,1.0600,1.1200,0.0600,0.8703,0.1167,0.4785,Culturual  Heritage
exp_5,Scene2,On,On,1.1800,1.2400,0.0600,0.8557,0.1171,0.5040,Culturual  Heritage
exp_5,Scene2,On,On,1.6000,1.6600,0.0600,0.3747,0.3008,0.8770,Text
exp_5,Scene2,On,On,1.7800,1.8600,0.0800,0.1382,0.3502,0.9264,Text
exp_5,Scene2,On,On,1.9800,2.0600,0.0800,-0.0521,0.3614,0.9310,Text
exp_5,Scene2,On,On,2.2800,2.4000,0.1200,-0.1726,0.3487,0.9212,Text
exp_5,Scene2,On,On,2.4600,2.6200,0.1600,0.0314,0.3520,0.9355,Text
exp_5,Scene2,On,On,2.7000,2.7800,0.0800,-0.0108,-0.0533,0.9985,Culturual  Heritage
exp_5,Scene2,On,On,2.8200,2.9200,0.1000,-0.0287,-0.0355,0.9990,Culturual  Heritage
exp_5,Scene2,On,On,2.9600,3.0400,0.0800,-0.0217,0.0098,0.9997,Nature
exp_5,Scene2,On,On,3.1600,3.2400,0.0800,-0.0407,-0.3463,0.9372,Tamed nature
exp_5,Scene2,On,On,3.2800,3.3400,0.0600,-0.0243,-0.3501,0.9364,Tamed nature
exp_5,Scene2,On,On,3.3800,3.4400,0.0600,0.0149,-0.3446,0.9386,Tamed nature
exp_5,Scene2,On,On,3.4800,3.5400,0.0600,0.0496,-0.3320,0.9420,Tamed nature
exp_5,Scene2,On,On,4.1600,4.2200,0.0600,0.8534,0.2054,-0.4791,Culturual  Heritage
exp_5,Scene2,On,On,4.4600,4.5400,0.0800,0.5247,0.1202,-0.8427,Culturual  Heritage
exp_5,Scene2,On,On,4.5800,4.6400,0.0600,0.5448,0.1283,-0.8287,Culturual  Heritage
exp_5,Scene2,On,On,4.7800,4.8400,0.0600,-0.1429,0.0549,-0.9882,Culturual  Heritage
exp_5,Scene2,On,On,4.9800,5.0600,0.0800,-0.3510,0.1558,-0.9233,Culturual  Heritage
exp_5,Scene2,On,On,5.2000,5.2600,0.0600,-0.2998,0.1530,-0.9417,Culturual  Heritage
exp_5,Scene2,On,On,5.4000,5.4600,0.0600,-0.2613,-0.2548,-0.9310,Text
exp_5,Scene2,On,On,5.5000,5.6200,0.1200,-0.1647,-0.1965,-0.9666,Text
exp_5,Scene2,On,On,5.6800,5.8200,0.1400,-0.1374,-0.1811,-0.9738,Text
exp_5,Scene2,On,On,5.9000,6.1400,0.2400,-0.6724,-0.2694,-0.6894,Text
exp_5,Scene2,On,On,6.2400,6.3000,0.0600,-0.9236,-0.0889,-0.3729,Culturual  Heritage
exp_5,Scene2,On,On,6.3400,6.4000,0.0600,-0.9108,-0.0926,-0.4024,Culturual  Heritage
exp_5,Scene2,On,On,6.5800,6.7600,0.1800,-0.6706,-0.3379,-0.6604,Text
exp_5,Scene2,On,On,6.8000,6.9000,0.1000,-0.6763,-0.3152,-0.6658,Text
exp_5,Scene2,On,On,6.9600,7.1200,0.1600,-0.6071,-0.3123,-0.7306,Text
exp_5,Scene2,On,On,7.1800,7.3600,0.1800,-0.5027,-0.2862,-0.8157,Text
exp_5,Scene2,On,On,7.4200,7.5200,0.1000,-0.2866,-0.2642,-0.9209,Text
exp_5,Scene2,On,On,7.5600,7.6800,0.1200,-0.3012,-0.2520,-0.9196,Text
exp_5,Scene2,On,On,7.7400,7.8800,0.1400,-0.2388,-0.2454,-0.9395,Text
exp_5,Scene2,On,On,7.9200,8.0800,0.1600,-0.0933,-0.2032,-0.9747,Text
