Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_5,Scene1,On,Off,0.1000,0.1600,0.0600,-0.9421,0.2847,0.1769,Culturual  Heritage
exp_5,Scene1,On,Off,0.2600,0.3200,0.0600,-0.9444,0.2897,0.1557,Culturual  Heritage
exp_5,Scene1,On,Off,0.5000,0.7000,0.2000,-0.9689,0.2470,0.0155,Text
exp_5,Scene1,On,Off,0.8800,1.0000,0.1200,-0.9505,0.2822,0.1298,Culturual  Heritage
exp_5,Scene1,On,Off,1.1000,1.3000,0.2000,-0.9565,0.2651,-0.1215,Text
exp_5,Scene1,On,Off,1.4200,1.5400,0.1200,-0.9514,0.2791,-0.1304,Culturual  Heritage
exp_5,Scene1,On,Off,1.6000,1.6800,0.0800,-0.9619,0.2707,-0.0386,Text
exp_5,Scene1,On,Off,1.8600,1.9400,0.0800,-0.9586,0.2708,0.0882,Text
exp_5,Scene1,On,Off,2.0200,2.0800,0.0600,-0.9338,0.2830,0.2191,Culturual  Heritage
exp_5,Scene1,On,Off,2.2800,2.4200,0.1400,-0.9357,0.2561,0.2428,Text
exp_5,Scene1,On,Off,2.4600,2.5400,0.0800,-0.9286,0.2722,0.2524,Text
exp_5,Scene1,On,Off,2.6400,2.7000,0.0600,-0.7410,0.0547,0.6692,Text
exp_5,Scene1,On,Off,2.7400,2.9400,0.2000,-0.7475,0.0422,0.6630,Text
exp_5,Scene1,On,Off,3.0800,3.1800,0.1000,-0.8389,0.0451,0.5424,Text
exp_5,Scene1,On,Off,3.3000,3.4200,0.1200,-0.7507,0.0943,0.6539,Culturual  Heritage
exp_5,Scene1,On,Off,3.4800,3.5600,0.0800,-0.6844,0.1086,0.7210,Culturual  Heritage
exp_5,Scene1,On,Off,3.6000,3.6600,0.0600,-0.6751,0.1188,0.7280,Culturual  Heritage
