Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_47,Scene2,Off,Off,0.0800,0.1600,0.0800,-0.1260,-0.0467,0.9909,Culturual  Heritage
exp_47,Scene2,Off,Off,0.3200,0.3800,0.0600,0.1457,-0.1879,0.9713,Tamed nature
exp_47,Scene2,Off,Off,0.4200,0.5000,0.0800,0.1606,-0.1449,0.9763,Tamed nature
exp_47,Scene2,Off,Off,1.2400,1.3400,0.1000,-0.0065,-0.9122,0.4097,Culturual  Heritage
exp_47,Scene2,Off,Off,1.9200,1.9800,0.0600,-0.9963,-0.0848,-0.0122,Culturual  Heritage
exp_47,Scene2,Off,Off,2.2800,2.4000,0.1200,-0.6746,0.1449,-0.7239,Culturual  Heritage
exp_47,Scene2,Off,Off,3.0000,3.1200,0.1200,-0.0101,0.0626,-0.9980,Nature
exp_47,Scene2,Off,Off,3.1600,3.2400,0.0800,-0.0067,0.0600,-0.9982,Nature
exp_47,Scene2,Off,Off,3.5000,3.5600,0.0600,-0.3378,0.0440,-0.9402,Culturual  Heritage
exp_47,Scene2,Off,Off,3.6800,3.7600,0.0800,-0.7583,0.0247,-0.6515,Culturual  Heritage
exp_47,Scene2,Off,Off,4.0600,4.1200,0.0600,-0.9911,0.1039,-0.0832,Culturual  Heritage
exp_47,Scene2,Off,Off,4.2000,4.3400,0.1400,-0.9829,0.0473,0.1782,Culturual  Heritage
exp_47,Scene2,Off,Off,4.4000,4.4800,0.0800,-0.9878,0.0091,0.1557,Culturual  Heritage
exp_47,Scene2,Off,Off,4.5400,4.6600,0.1200,-0.9939,-0.0399,0.1029,Culturual  Heritage
exp_47,Scene2,Off,Off,4.7000,4.7800,0.0800,-0.9932,-0.0363,0.1104,Culturual  Heritage
exp_47,Scene2,Off,Off,4.9400,5.0000,0.0600,-0.9974,0.0704,0.0153,Culturual  Heritage
