Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_25,Scene1,Off,Off,0.0200,0.1200,0.1000,-0.7415,0.3064,0.5968,Culturual  Heritage
exp_25,Scene1,Off,Off,0.2000,0.3000,0.1000,-0.7400,-0.0475,0.6709,Culturual  Heritage
exp_25,Scene1,Off,Off,0.3400,0.5200,0.1800,-0.7467,-0.0304,0.6644,Culturual  Heritage
exp_25,Scene1,Off,Off,0.6200,0.8600,0.2400,-0.4332,-0.0998,0.8957,Culturual  Heritage
exp_25,Scene1,Off,Off,1.2000,1.2800,0.0800,0.0529,-0.0969,0.9939,Culturual  Heritage
exp_25,Scene1,Off,Off,1.6000,1.7200,0.1200,0.5225,-0.0321,0.8520,Culturual  Heritage
exp_25,Scene1,Off,Off,1.9000,2.0800,0.1800,0.3529,-0.0344,0.9350,Urban
exp_25,Scene1,Off,Off,2.1400,2.3400,0.2000,0.1743,-0.0194,0.9845,Urban
exp_25,Scene1,Off,Off,2.3800,2.4400,0.0600,0.1615,-0.0038,0.9869,Urban
exp_25,Scene1,Off,Off,2.6200,2.7000,0.0800,-0.0601,0.0131,0.9981,Tamed nature
exp_25,Scene1,Off,Off,3.4800,3.5400,0.0600,-0.8012,0.4144,0.4317,Culturual  Heritage
exp_25,Scene1,Off,Off,3.8000,4.0800,0.2800,-0.8465,0.3702,0.3826,Culturual  Heritage
exp_25,Scene1,Off,Off,4.1800,4.3200,0.1400,-0.8385,0.2721,0.4721,Culturual  Heritage
exp_25,Scene1,Off,Off,4.7000,4.7600,0.0600,-0.9512,-0.1090,0.2886,Culturual  Heritage
exp_25,Scene1,Off,Off,4.9600,5.0400,0.0800,-0.9655,-0.1476,-0.2147,Culturual  Heritage
exp_25,Scene1,Off,Off,5.4400,5.5200,0.0800,-0.8950,-0.1019,-0.4342,Culturual  Heritage
exp_25,Scene1,Off,Off,6.0000,6.1200,0.1200,-0.1654,-0.0430,-0.9853,Culturual  Heritage
exp_25,Scene1,Off,Off,6.5600,6.6600,0.1000,0.3532,0.0326,-0.9350,Culturual  Heritage
exp_25,Scene1,Off,Off,7.0400,7.1000,0.0600,0.6300,-0.1413,-0.7636,Culturual  Heritage
exp_25,Scene1,Off,Off,7.1800,7.2600,0.0800,0.6472,-0.1281,-0.7514,Culturual  Heritage
exp_25,Scene1,Off,Off,7.3200,7.4000,0.0800,0.6648,-0.1181,-0.7376,Culturual  Heritage
exp_25,Scene1,Off,Off,7.8400,7.9000,0.0600,0.9576,-0.0746,-0.2784,Culturual  Heritage
exp_25,Scene1,Off,Off,7.9400,8.0200,0.0800,0.9485,-0.0707,-0.3089,Culturual  Heritage
exp_25,Scene1,Off,Off,8.3600,8.4400,0.0800,0.4739,0.4462,-0.7591,Culturual  Heritage
