Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_21,Scene7,Off,On,0.0200,0.2200,0.2000,-0.8554,-0.0192,0.5176,Culturual  Heritage
exp_21,Scene7,Off,On,0.3000,0.3600,0.0600,-0.9752,-0.0367,0.2182,Culturual  Heritage
exp_21,Scene7,Off,On,0.4800,0.6600,0.1800,-0.9754,-0.0276,0.2189,Culturual  Heritage
exp_21,Scene7,Off,On,0.7200,0.8200,0.1000,-0.9659,0.0929,0.2418,Culturual  Heritage
exp_21,Scene7,Off,On,0.9200,1.0400,0.1200,-0.9036,0.3171,0.2882,Culturual  Heritage
exp_21,Scene7,Off,On,1.1600,1.3200,0.1600,-0.8961,0.3268,0.3004,Culturual  Heritage
exp_21,Scene7,Off,On,1.3600,1.4400,0.0800,-0.9840,0.1318,0.1196,Culturual  Heritage
exp_21,Scene7,Off,On,1.5600,1.6600,0.1000,-0.9788,0.1879,0.0819,Culturual  Heritage
exp_21,Scene7,Off,On,1.7000,1.8200,0.1200,-0.9809,0.1868,0.0537,Culturual  Heritage
exp_21,Scene7,Off,On,2.0000,2.1600,0.1600,-0.9891,0.1170,-0.0894,Tamed nature
exp_21,Scene7,Off,On,2.4800,2.5600,0.0800,-0.8763,0.0669,-0.4771,Culturual  Heritage
exp_21,Scene7,Off,On,2.6800,2.7400,0.0600,-0.7697,0.0121,-0.6383,Culturual  Heritage
exp_21,Scene7,Off,On,2.7800,2.8800,0.1000,-0.7567,-0.0059,-0.6537,Culturual  Heritage
exp_21,Scene7,Off,On,2.9200,2.9800,0.0600,-0.7408,0.0136,-0.6716,Culturual  Heritage
exp_21,Scene7,Off,On,3.1400,3.2000,0.0600,-0.6482,0.2244,-0.7277,Culturual  Heritage
exp_21,Scene7,Off,On,3.4000,3.4800,0.0800,-0.4166,0.2819,-0.8643,Culturual  Heritage
exp_21,Scene7,Off,On,3.7600,3.8200,0.0600,-0.2348,0.4321,-0.8707,Culturual  Heritage
exp_21,Scene7,Off,On,4.1400,4.2200,0.0800,0.0277,0.5995,-0.7999,Culturual  Heritage
exp_21,Scene7,Off,On,4.4400,4.5600,0.1200,0.0105,0.6631,-0.7484,Culturual  Heritage
exp_21,Scene7,Off,On,4.6000,4.6600,0.0600,-0.0006,0.6915,-0.7223,Culturual  Heritage
exp_21,Scene7,Off,On,4.8200,4.9000,0.0800,-0.1473,0.6287,-0.7636,Culturual  Heritage
exp_21,Scene7,Off,On,4.9800,5.0400,0.0600,-0.0601,0.5746,-0.8162,Culturual  Heritage
exp_21,Scene7,Off,On,5.2400,5.3000,0.0600,-0.0732,0.1307,-0.9887,Culturual  Heritage
exp_21,Scene7,Off,On,5.3400,5.4800,0.1400,-0.0739,0.1374,-0.9878,Culturual  Heritage
exp_21,Scene7,Off,On,5.5200,5.7400,0.2200,-0.0641,0.0998,-0.9929,Culturual  Heritage
exp_21,Scene7,Off,On,5.9600,6.0400,0.0800,-0.0045,0.0007,-1.0000,Culturual  Heritage
exp_21,Scene7,Off,On,6.0800,6.1400,0.0600,-0.0234,0.0206,-0.9995,Culturual  Heritage
exp_21,Scene7,Off,On,6.4200,6.4800,0.0600,-0.0078,0.3908,-0.9204,Culturual  Heritage
exp_21,Scene7,Off,On,6.5200,6.5800,0.0600,0.0333,0.6056,-0.7950,Culturual  Heritage
exp_21,Scene7,Off,On,6.6200,6.8000,0.1800,0.0356,0.6259,-0.7791,Culturual  Heritage
exp_21,Scene7,Off,On,6.8600,6.9600,0.1000,0.0653,0.6669,-0.7422,Culturual  Heritage
exp_21,Scene7,Off,On,7.0200,7.2200,0.2000,0.0373,0.6912,-0.7217,Culturual  Heritage
exp_21,Scene7,Off,On,7.2600,7.4800,0.2200,-0.0229,0.7061,-0.7078,Culturual  Heritage
exp_21,Scene7,Off,On,7.5200,7.6400,0.1200,-0.0306,0.9228,-0.3840,Others
exp_21,Scene7,Off,On,7.6800,7.8400,0.1600,-0.0324,0.9247,-0.3794,Others
exp_21,Scene7,Off,On,7.9000,8.0400,0.1400,0.1190,0.6998,-0.7044,Culturual  Heritage
exp_21,Scene7,Off,On,8.1000,8.2200,0.1200,0.1312,0.6702,-0.7305,Culturual  Heritage
exp_21,Scene7,Off,On,8.2600,8.3600,0.1000,0.0439,0.6715,-0.7397,Culturual  Heritage
exp_21,Scene7,Off,On,8.4800,8.9400,0.4600,-0.0051,0.7081,-0.7060,Culturual  Heritage
exp_21,Scene7,Off,On,8.9800,9.2200,0.2400,-0.0247,0.9209,-0.3889,Others
exp_21,Scene7,Off,On,9.2600,9.5600,0.3000,-0.0302,0.6940,-0.7193,Culturual  Heritage
exp_21,Scene7,Off,On,9.6000,10.0400,0.4400,0.0183,0.6969,-0.7170,Culturual  Heritage
exp_21,Scene7,Off,On,10.2000,10.2600,0.0600,-0.1089,0.4265,-0.8979,Culturual  Heritage
exp_21,Scene7,Off,On,10.4200,10.4800,0.0600,-0.4597,0.3738,-0.8056,Culturual  Heritage
exp_21,Scene7,Off,On,11.0800,11.1600,0.0800,-0.9875,0.0678,-0.1425,Tamed nature
exp_21,Scene7,Off,On,11.2000,11.2600,0.0600,-0.9889,0.0895,-0.1187,Tamed nature
exp_21,Scene7,Off,On,11.3800,11.5400,0.1600,-0.9690,0.1416,0.2026,Culturual  Heritage
exp_21,Scene7,Off,On,11.6000,11.7400,0.1400,-0.9130,0.0688,0.4020,Culturual  Heritage
exp_21,Scene7,Off,On,11.8000,11.9800,0.1800,-0.9014,0.0725,0.4269,Culturual  Heritage
exp_21,Scene7,Off,On,12.1000,12.2000,0.1000,-0.7440,0.0449,0.6667,Culturual  Heritage
exp_21,Scene7,Off,On,12.2400,12.3000,0.0600,-0.7430,0.0513,0.6673,Culturual  Heritage
exp_21,Scene7,Off,On,12.3400,12.4000,0.0600,-0.7173,0.0404,0.6955,Culturual  Heritage
exp_21,Scene7,Off,On,12.4400,12.5000,0.0600,-0.7085,0.0442,0.7043,Culturual  Heritage
exp_21,Scene7,Off,On,12.5600,12.6400,0.0800,-0.4729,-0.0008,0.8811,Culturual  Heritage
exp_21,Scene7,Off,On,12.6800,12.8400,0.1600,-0.4526,0.0093,0.8917,Culturual  Heritage
exp_21,Scene7,Off,On,12.8800,13.0000,0.1200,-0.4396,0.0269,0.8978,Culturual  Heritage
exp_21,Scene7,Off,On,13.1200,13.3200,0.2000,-0.2339,0.0433,0.9713,Culturual  Heritage
exp_21,Scene7,Off,On,13.4000,13.4600,0.0600,-0.2992,0.4009,0.8659,Culturual  Heritage
exp_21,Scene7,Off,On,13.5600,13.7000,0.1400,-0.1596,0.2831,0.9457,Culturual  Heritage
exp_21,Scene7,Off,On,13.8800,13.9600,0.0800,-0.1245,0.3115,0.9420,Culturual  Heritage
exp_21,Scene7,Off,On,14.0000,14.1000,0.1000,-0.1231,0.3370,0.9334,Culturual  Heritage
exp_21,Scene7,Off,On,14.1800,14.2400,0.0600,-0.0943,0.4904,0.8664,Culturual  Heritage
exp_21,Scene7,Off,On,14.3800,14.4400,0.0600,-0.1126,0.4831,0.8683,Culturual  Heritage
exp_21,Scene7,Off,On,14.4800,14.5400,0.0600,-0.0963,0.4954,0.8633,Culturual  Heritage
exp_21,Scene7,Off,On,14.5800,14.7400,0.1600,-0.0277,0.5156,0.8564,Culturual  Heritage
exp_21,Scene7,Off,On,14.8200,14.9200,0.1000,-0.0001,0.2892,0.9573,Culturual  Heritage
exp_21,Scene7,Off,On,15.0600,15.1200,0.0600,0.1228,0.1652,0.9786,Culturual  Heritage
exp_21,Scene7,Off,On,15.3200,15.4200,0.1000,0.4203,0.0824,0.9036,Culturual  Heritage
exp_21,Scene7,Off,On,15.5200,15.5800,0.0600,0.6317,0.0925,0.7696,Culturual  Heritage
exp_21,Scene7,Off,On,15.9200,16.1000,0.1800,0.6291,0.2697,0.7290,Culturual  Heritage
exp_21,Scene7,Off,On,16.1400,16.2000,0.0600,0.6204,0.3054,0.7223,Tamed nature
exp_21,Scene7,Off,On,16.2400,16.3400,0.1000,0.6311,0.3495,0.6925,Tamed nature
exp_21,Scene7,Off,On,16.3800,16.4400,0.0600,0.6505,0.3677,0.6646,Culturual  Heritage
exp_21,Scene7,Off,On,16.7600,16.8200,0.0600,0.8905,0.1656,0.4239,Culturual  Heritage
exp_21,Scene7,Off,On,16.9000,16.9800,0.0800,0.8748,0.0912,0.4758,Culturual  Heritage
exp_21,Scene7,Off,On,17.0200,17.2000,0.1800,0.8605,0.1080,0.4980,Culturual  Heritage
exp_21,Scene7,Off,On,17.2600,17.4600,0.2000,0.9174,0.1233,0.3783,Culturual  Heritage
exp_21,Scene7,Off,On,17.5000,17.7600,0.2600,0.9253,0.1196,0.3599,Culturual  Heritage
exp_21,Scene7,Off,On,17.8800,18.0000,0.1200,0.8027,0.1216,0.5838,Nature
exp_21,Scene7,Off,On,18.0800,18.1800,0.1000,0.9576,0.0461,0.2843,Culturual  Heritage
exp_21,Scene7,Off,On,18.2200,18.3800,0.1600,0.9615,0.0528,0.2695,Culturual  Heritage
exp_21,Scene7,Off,On,18.4200,18.5000,0.0800,0.9720,0.0343,0.2325,Culturual  Heritage
exp_21,Scene7,Off,On,18.5600,18.6400,0.0800,1.0000,-0.0044,0.0031,Culturual  Heritage
exp_21,Scene7,Off,On,18.7800,18.9000,0.1200,0.9996,0.0044,-0.0283,Culturual  Heritage
exp_21,Scene7,Off,On,18.9400,19.0200,0.0800,0.9801,0.0052,0.1986,Culturual  Heritage
exp_21,Scene7,Off,On,19.0600,19.3400,0.2800,0.9834,0.0115,0.1813,Culturual  Heritage
exp_21,Scene7,Off,On,19.4000,19.4600,0.0600,0.9541,0.0970,0.2834,Culturual  Heritage
exp_21,Scene7,Off,On,19.5800,19.7200,0.1400,0.9624,0.0791,0.2597,Culturual  Heritage
exp_21,Scene7,Off,On,19.7600,19.8800,0.1200,0.9422,0.3320,0.0454,Nature
exp_21,Scene7,Off,On,19.9400,20.2400,0.3000,0.9984,0.0023,-0.0561,Culturual  Heritage
exp_21,Scene7,Off,On,20.3400,20.5400,0.2000,0.9813,-0.0145,0.1918,Culturual  Heritage
exp_21,Scene7,Off,On,20.5800,20.8800,0.3000,0.9823,0.0041,0.1872,Culturual  Heritage
exp_21,Scene7,Off,On,20.9600,21.2200,0.2600,0.9913,0.1271,0.0329,Culturual  Heritage
exp_21,Scene7,Off,On,21.2600,21.5200,0.2600,0.9914,0.1294,0.0215,Culturual  Heritage
exp_21,Scene7,Off,On,21.6800,21.9800,0.3000,0.9960,-0.0311,0.0842,Culturual  Heritage
exp_21,Scene7,Off,On,22.1200,22.1800,0.0600,0.9517,0.0402,0.3044,Culturual  Heritage
exp_21,Scene7,Off,On,22.2200,22.3200,0.1000,0.9415,0.0626,0.3311,Culturual  Heritage
exp_21,Scene7,Off,On,22.3600,22.4200,0.0600,0.9250,0.0815,0.3711,Culturual  Heritage
exp_21,Scene7,Off,On,22.4600,22.5400,0.0800,0.9154,0.0994,0.3902,Culturual  Heritage
exp_21,Scene7,Off,On,22.6400,22.7000,0.0600,0.8209,0.0401,0.5697,Culturual  Heritage
exp_21,Scene7,Off,On,22.7400,22.8000,0.0600,0.8036,0.0461,0.5934,Culturual  Heritage
exp_21,Scene7,Off,On,23.1800,23.3200,0.1400,0.2855,0.0331,0.9578,Culturual  Heritage
exp_21,Scene7,Off,On,23.4200,23.5000,0.0800,0.0536,0.0698,0.9961,Culturual  Heritage
exp_21,Scene7,Off,On,23.8600,23.9200,0.0600,-0.2702,0.0668,0.9605,Culturual  Heritage
exp_21,Scene7,Off,On,23.9600,24.0200,0.0600,-0.2774,0.0796,0.9575,Culturual  Heritage
exp_21,Scene7,Off,On,24.2200,24.3000,0.0800,-0.4729,0.0288,0.8806,Culturual  Heritage
exp_21,Scene7,Off,On,24.3400,24.4200,0.0800,-0.4942,0.0386,0.8685,Culturual  Heritage
exp_21,Scene7,Off,On,24.5400,24.6600,0.1200,-0.7418,0.0185,0.6704,Culturual  Heritage
exp_21,Scene7,Off,On,24.7000,24.8600,0.1600,-0.7619,0.0134,0.6476,Culturual  Heritage
exp_21,Scene7,Off,On,25.1200,25.4200,0.3000,-0.8183,0.1157,0.5630,Culturual  Heritage
exp_21,Scene7,Off,On,25.4800,25.5400,0.0600,-0.7821,0.0426,0.6217,Culturual  Heritage
exp_21,Scene7,Off,On,25.5800,25.7200,0.1400,-0.7675,0.0461,0.6394,Culturual  Heritage
exp_21,Scene7,Off,On,25.7600,25.8200,0.0600,-0.7593,0.0567,0.6482,Culturual  Heritage
