Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_9,Scene7,On,Off,0.1400,0.3400,0.2000,-0.4510,-0.1757,0.8751,Text
exp_9,Scene7,On,Off,0.4000,0.5400,0.1400,-0.4823,-0.1248,0.8670,Text
exp_9,Scene7,On,Off,0.6400,0.7000,0.0600,-0.4793,-0.1298,0.8680,Text
exp_9,Scene7,On,Off,0.7400,0.8200,0.0800,-0.3997,-0.1603,0.9025,Text
exp_9,Scene7,On,Off,1.0000,1.1600,0.1600,-0.3808,-0.1311,0.9153,Text
exp_9,Scene7,On,Off,1.2200,1.3400,0.1200,-0.2477,-0.1294,0.9602,Text
exp_9,Scene7,On,Off,1.3800,1.4800,0.1000,-0.2429,-0.1427,0.9595,Text
exp_9,Scene7,On,Off,1.5400,1.7200,0.1800,-0.1558,-0.1751,0.9721,Text
exp_9,Scene7,On,Off,1.9200,2.0600,0.1400,-0.1495,-0.1624,0.9753,Text
exp_9,Scene7,On,Off,2.1000,2.1800,0.0800,-0.1313,-0.1359,0.9820,Text
exp_9,Scene7,On,Off,2.2200,2.4600,0.2400,-0.2124,-0.1377,0.9674,Text
exp_9,Scene7,On,Off,2.6000,2.6800,0.0800,-0.1452,-0.1481,0.9782,Text
exp_9,Scene7,On,Off,2.7400,2.8000,0.0600,0.0828,-0.1824,0.9797,Text
exp_9,Scene7,On,Off,2.8400,3.0400,0.2000,0.0617,-0.1630,0.9847,Text
exp_9,Scene7,On,Off,3.1200,3.3400,0.2200,0.2061,-0.1588,0.9656,Text
exp_9,Scene7,On,Off,3.4200,3.5200,0.1000,0.3538,-0.1507,0.9231,Text
exp_9,Scene7,On,Off,3.5600,3.6400,0.0800,0.3379,-0.1406,0.9306,Text
exp_9,Scene7,On,Off,3.7800,3.8800,0.1000,0.4539,-0.1401,0.8800,Text
exp_9,Scene7,On,Off,3.9200,4.0800,0.1600,0.4413,-0.1248,0.8886,Text
exp_9,Scene7,On,Off,4.1200,4.1800,0.0600,0.2025,-0.0628,0.9773,Culturual  Heritage
exp_9,Scene7,On,Off,4.2400,4.3800,0.1400,0.0844,0.0939,0.9920,Culturual  Heritage
exp_9,Scene7,On,Off,4.4200,4.4800,0.0600,0.0033,0.1244,0.9922,Culturual  Heritage
exp_9,Scene7,On,Off,4.5200,4.5800,0.0600,0.0339,0.1356,0.9902,Culturual  Heritage
exp_9,Scene7,On,Off,4.6200,4.7200,0.1000,0.0053,0.1344,0.9909,Culturual  Heritage
exp_9,Scene7,On,Off,4.8400,4.9000,0.0600,0.4546,0.2376,0.8584,Culturual  Heritage
exp_9,Scene7,On,Off,5.1600,5.2800,0.1200,0.2871,0.5223,0.8030,Culturual  Heritage
exp_9,Scene7,On,Off,5.3600,5.4400,0.0800,0.3002,0.6299,0.7163,Text
exp_9,Scene7,On,Off,5.5600,5.6400,0.0800,0.3223,0.6317,0.7050,Text
exp_9,Scene7,On,Off,5.7600,5.8200,0.0600,-0.2334,0.6540,0.7196,Text
exp_9,Scene7,On,Off,5.9600,6.0200,0.0600,-0.4040,0.6234,0.6694,Text
exp_9,Scene7,On,Off,6.0600,6.2000,0.1400,-0.3881,0.6276,0.6749,Text
exp_9,Scene7,On,Off,6.2400,6.3000,0.0600,-0.1625,0.5550,0.8158,Others
exp_9,Scene7,On,Off,6.3600,6.4800,0.1200,-0.4117,0.6187,0.6691,Text
exp_9,Scene7,On,Off,6.5600,6.8600,0.3000,-0.2676,0.6710,0.6915,Text
exp_9,Scene7,On,Off,6.9200,7.1400,0.2200,-0.1871,0.6670,0.7212,Text
exp_9,Scene7,On,Off,7.2000,7.3400,0.1400,-0.2789,0.6620,0.6957,Text
exp_9,Scene7,On,Off,7.3800,7.6600,0.2800,-0.3782,0.6338,0.6747,Text
exp_9,Scene7,On,Off,7.7000,8.1800,0.4800,-0.3981,0.6201,0.6760,Text
exp_9,Scene7,On,Off,8.3400,8.5000,0.1600,-0.2141,0.6743,0.7067,Text
exp_9,Scene7,On,Off,8.5600,8.6200,0.0600,-0.2260,0.6667,0.7102,Text
exp_9,Scene7,On,Off,8.6600,8.9800,0.3200,-0.1377,0.6630,0.7358,Text
exp_9,Scene7,On,Off,9.0400,9.2000,0.1600,-0.0089,0.6784,0.7347,Text
exp_9,Scene7,On,Off,9.2600,9.3200,0.0600,-0.1208,0.5944,0.7951,Others
exp_9,Scene7,On,Off,9.5200,9.7000,0.1800,0.2352,0.6380,0.7332,Text
exp_9,Scene7,On,Off,9.7600,10.0200,0.2600,0.3008,0.6308,0.7153,Text
exp_9,Scene7,On,Off,10.0600,10.2400,0.1800,0.3879,0.6031,0.6970,Text
exp_9,Scene7,On,Off,10.3000,10.3600,0.0600,0.0266,0.5062,0.8620,Culturual  Heritage
exp_9,Scene7,On,Off,10.4200,10.5200,0.1000,-0.1633,0.0769,0.9836,Culturual  Heritage
exp_9,Scene7,On,Off,10.6000,10.9800,0.3800,-0.0358,0.1364,0.9900,Culturual  Heritage
exp_9,Scene7,On,Off,11.0400,11.2200,0.1800,0.0652,0.0494,0.9967,Culturual  Heritage
exp_9,Scene7,On,Off,11.2800,11.4000,0.1200,0.1150,0.0446,0.9924,Culturual  Heritage
exp_9,Scene7,On,Off,11.4600,11.5200,0.0600,0.1073,0.1105,0.9881,Culturual  Heritage
exp_9,Scene7,On,Off,11.5600,11.7400,0.1800,0.0889,0.1412,0.9860,Culturual  Heritage
exp_9,Scene7,On,Off,12.2400,12.3200,0.0800,-0.6112,0.0619,0.7890,Culturual  Heritage
exp_9,Scene7,On,Off,12.3800,12.4400,0.0600,-0.4921,0.1406,0.8591,Culturual  Heritage
exp_9,Scene7,On,Off,12.5600,12.6200,0.0600,-0.5041,0.2750,0.8187,Culturual  Heritage
exp_9,Scene7,On,Off,13.1800,13.2600,0.0800,-0.8501,0.2362,0.4707,Culturual  Heritage
exp_9,Scene7,On,Off,13.4200,13.5200,0.1000,-0.8803,0.4459,0.1622,Text
exp_9,Scene7,On,Off,13.6000,13.7400,0.1400,-0.8244,0.5632,-0.0553,Text
exp_9,Scene7,On,Off,13.8000,13.8800,0.0800,-0.7713,0.5514,-0.3178,Text
exp_9,Scene7,On,Off,14.0200,14.1600,0.1400,-0.7678,0.5158,-0.3801,Text
exp_9,Scene7,On,Off,14.3600,14.4400,0.0800,-0.8148,0.5782,-0.0426,Text
exp_9,Scene7,On,Off,14.5400,14.6000,0.0600,-0.8310,0.5338,0.1563,Text
exp_9,Scene7,On,Off,14.7400,14.8400,0.1000,-0.8227,0.5612,0.0910,Text
exp_9,Scene7,On,Off,15.0000,15.1000,0.1000,-0.7789,0.5533,-0.2953,Text
exp_9,Scene7,On,Off,15.1400,15.2200,0.0800,-0.7786,0.5231,-0.3466,Text
exp_9,Scene7,On,Off,15.2600,15.3200,0.0600,-0.7634,0.5279,-0.3723,Text
exp_9,Scene7,On,Off,15.3600,15.5200,0.1600,-0.7784,0.5265,-0.3418,Text
exp_9,Scene7,On,Off,15.5600,15.8600,0.3000,-0.7963,0.5434,-0.2656,Text
exp_9,Scene7,On,Off,15.9000,16.0200,0.1200,-0.7960,0.5509,-0.2506,Text
exp_9,Scene7,On,Off,16.0600,16.2600,0.2000,-0.8038,0.5758,-0.1494,Text
exp_9,Scene7,On,Off,16.3000,16.4600,0.1600,-0.7940,0.5514,-0.2558,Text
exp_9,Scene7,On,Off,16.5000,16.5800,0.0800,-0.8969,0.4204,-0.1370,Others
exp_9,Scene7,On,Off,16.6200,16.7800,0.1600,-0.7840,0.5479,-0.2917,Text
exp_9,Scene7,On,Off,16.8600,17.0000,0.1400,-0.8052,0.5929,0.0082,Text
exp_9,Scene7,On,Off,17.0400,17.1400,0.1000,-0.9074,0.4161,-0.0590,Others
exp_9,Scene7,On,Off,17.1800,17.2800,0.1000,-0.8183,0.5730,0.0457,Text
exp_9,Scene7,On,Off,17.3400,17.5400,0.2000,-0.8221,0.5009,-0.2708,Text
exp_9,Scene7,On,Off,17.5800,17.7000,0.1200,-0.7991,0.5036,-0.3283,Text
exp_9,Scene7,On,Off,17.8400,18.0200,0.1800,-0.8349,0.5323,-0.1404,Text
exp_9,Scene7,On,Off,18.0800,18.1600,0.0800,-0.8397,0.5403,-0.0541,Text
exp_9,Scene7,On,Off,18.3000,18.4800,0.1800,-0.8334,0.5292,0.1590,Text
exp_9,Scene7,On,Off,18.5200,18.6400,0.1200,-0.9095,0.4123,-0.0530,Others
exp_9,Scene7,On,Off,18.7000,18.9000,0.2000,-0.8435,0.4606,-0.2763,Text
exp_9,Scene7,On,Off,18.9600,19.0600,0.1000,-0.8723,0.4661,-0.1475,Text
exp_9,Scene7,On,Off,19.1800,19.2600,0.0800,-0.8688,0.4951,0.0041,Text
exp_9,Scene7,On,Off,19.6000,19.6600,0.0600,-0.9114,-0.2497,-0.3271,Text
exp_9,Scene7,On,Off,19.7000,19.9400,0.2400,-0.8575,-0.2158,-0.4670,Text
exp_9,Scene7,On,Off,20.0600,20.2000,0.1400,-0.8943,-0.2001,-0.4002,Text
exp_9,Scene7,On,Off,20.3200,20.5200,0.2000,-0.9540,-0.1982,-0.2248,Text
exp_9,Scene7,On,Off,20.7200,20.8600,0.1400,-0.8821,-0.2310,-0.4105,Text
exp_9,Scene7,On,Off,21.0000,21.1200,0.1200,-0.9269,-0.2542,-0.2763,Text
exp_9,Scene7,On,Off,21.2000,21.2800,0.0800,-0.9354,-0.2248,-0.2729,Text
exp_9,Scene7,On,Off,21.3800,21.4400,0.0600,-0.7833,-0.1540,-0.6023,Culturual  Heritage
exp_9,Scene7,On,Off,21.6800,21.7600,0.0800,-0.5832,0.1288,-0.8021,Culturual  Heritage
exp_9,Scene7,On,Off,21.8400,21.9600,0.1200,-0.4684,0.2707,-0.8410,Culturual  Heritage
exp_9,Scene7,On,Off,22.1200,22.2600,0.1400,-0.1719,0.0580,-0.9834,Culturual  Heritage
exp_9,Scene7,On,Off,22.3200,22.3800,0.0600,-0.0643,0.1829,-0.9810,Culturual  Heritage
exp_9,Scene7,On,Off,22.4200,22.5000,0.0800,-0.0998,0.1832,-0.9780,Culturual  Heritage
exp_9,Scene7,On,Off,22.5800,22.6600,0.0800,-0.0585,0.5192,-0.8527,Culturual  Heritage
exp_9,Scene7,On,Off,22.7800,22.8400,0.0600,-0.0400,0.7012,-0.7119,Culturual  Heritage
exp_9,Scene7,On,Off,22.9600,23.1000,0.1400,-0.0348,0.7393,-0.6725,Culturual  Heritage
exp_9,Scene7,On,Off,23.1400,23.3200,0.1800,-0.0424,0.7230,-0.6896,Culturual  Heritage
exp_9,Scene7,On,Off,23.3600,23.5400,0.1800,-0.0824,0.7290,-0.6796,Culturual  Heritage
exp_9,Scene7,On,Off,23.6000,23.6600,0.0600,0.0402,0.7036,-0.7095,Culturual  Heritage
exp_9,Scene7,On,Off,24.3800,24.4400,0.0600,-0.4969,0.0179,0.8676,Culturual  Heritage
exp_9,Scene7,On,Off,24.5000,24.5600,0.0600,-0.1910,-0.0191,0.9814,Culturual  Heritage
exp_9,Scene7,On,Off,24.7000,24.7800,0.0800,0.0375,-0.1895,0.9812,Text
exp_9,Scene7,On,Off,24.9400,25.0200,0.0800,-0.3995,-0.1617,0.9024,Text
exp_9,Scene7,On,Off,25.0600,25.1400,0.0800,-0.3842,-0.1709,0.9073,Text
exp_9,Scene7,On,Off,25.3000,25.4000,0.1000,-0.5028,-0.1462,0.8520,Text
exp_9,Scene7,On,Off,25.8800,26.0200,0.1400,-0.1980,-0.1664,0.9660,Text
exp_9,Scene7,On,Off,26.0600,26.1400,0.0800,-0.1873,-0.1415,0.9721,Text
exp_9,Scene7,On,Off,26.1800,26.3200,0.1400,-0.1795,-0.1332,0.9747,Text
exp_9,Scene7,On,Off,26.7400,26.8200,0.0800,-0.0874,-0.2252,0.9704,Text
exp_9,Scene7,On,Off,26.9800,27.0400,0.0600,-0.2669,-0.1740,0.9479,Text
exp_9,Scene7,On,Off,27.0800,27.1400,0.0600,-0.2704,-0.1760,0.9465,Text
exp_9,Scene7,On,Off,27.1800,27.3600,0.1800,-0.4674,-0.1461,0.8719,Text
exp_9,Scene7,On,Off,27.4000,27.5000,0.1000,-0.4374,-0.1423,0.8879,Text
exp_9,Scene7,On,Off,27.5400,27.6000,0.0600,-0.4366,-0.1647,0.8845,Text
exp_9,Scene7,On,Off,27.6800,27.8600,0.1800,-0.2041,-0.2474,0.9472,Culturual  Heritage
exp_9,Scene7,On,Off,27.9000,28.0600,0.1600,-0.1838,-0.2478,0.9512,Culturual  Heritage
exp_9,Scene7,On,Off,28.3200,28.3800,0.0600,-0.0296,-0.0604,0.9977,Culturual  Heritage
exp_9,Scene7,On,Off,28.4200,28.4800,0.0600,-0.0034,-0.0391,0.9992,Culturual  Heritage
exp_9,Scene7,On,Off,28.5200,28.6000,0.0800,0.0261,-0.0291,0.9992,Culturual  Heritage
exp_9,Scene7,On,Off,28.6400,28.7200,0.0800,0.0625,-0.0354,0.9974,Culturual  Heritage
exp_9,Scene7,On,Off,28.7600,28.8200,0.0600,0.0995,-0.0427,0.9941,Culturual  Heritage
exp_9,Scene7,On,Off,28.8600,28.9200,0.0600,0.1329,-0.0426,0.9902,Culturual  Heritage
exp_9,Scene7,On,Off,28.9600,29.0200,0.0600,0.1725,-0.0339,0.9844,Culturual  Heritage
exp_9,Scene7,On,Off,29.2200,29.2800,0.0600,0.3770,0.1858,0.9074,Culturual  Heritage
exp_9,Scene7,On,Off,29.3800,29.4800,0.1000,0.3550,0.3629,0.8616,Culturual  Heritage
exp_9,Scene7,On,Off,29.5800,29.7000,0.1200,0.3127,0.5953,0.7402,Text
exp_9,Scene7,On,Off,29.7400,29.9000,0.1600,0.5205,0.6293,0.5771,Others
exp_9,Scene7,On,Off,30.0400,30.1600,0.1200,0.6428,0.5977,0.4792,Text
exp_9,Scene7,On,Off,30.2400,30.4200,0.1800,0.6039,0.6910,0.3973,Text
exp_9,Scene7,On,Off,30.4600,30.5400,0.0800,0.6415,0.7090,0.2930,Text
exp_9,Scene7,On,Off,30.5800,30.6800,0.1000,0.6424,0.7030,0.3050,Text
exp_9,Scene7,On,Off,30.8400,30.9000,0.0600,0.7177,0.5690,0.4015,Others
exp_9,Scene7,On,Off,31.0000,31.2000,0.2000,0.6603,0.7343,0.1575,Text
exp_9,Scene7,On,Off,31.2400,31.5800,0.3400,0.6701,0.7389,0.0715,Text
exp_9,Scene7,On,Off,31.6200,31.8800,0.2600,0.6543,0.7461,0.1235,Text
exp_9,Scene7,On,Off,31.9200,32.0000,0.0800,0.8020,0.5949,0.0526,Others
exp_9,Scene7,On,Off,32.0400,32.1200,0.0800,0.6559,0.7505,0.0810,Text
