Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_47,Scene6,Off,On,0.2800,0.3400,0.0600,0.5586,0.0643,0.8270,Tamed nature
exp_47,Scene6,Off,On,0.5800,0.7000,0.1200,0.7331,0.1031,0.6723,Tamed nature
exp_47,Scene6,Off,On,0.9000,0.9600,0.0600,0.8489,0.2346,0.4736,Culturual  Heritage
exp_47,Scene6,Off,On,1.1600,1.2600,0.1000,0.9676,0.2512,-0.0269,Culturual  Heritage
exp_47,Scene6,Off,On,1.3200,1.5000,0.1800,0.8684,0.4954,0.0205,Others
exp_47,Scene6,Off,On,1.5400,1.6000,0.0600,0.9387,0.3436,-0.0276,Others
exp_47,Scene6,Off,On,2.1800,2.2400,0.0600,0.5448,0.1192,0.8300,Tamed nature
exp_47,Scene6,Off,On,3.0800,3.1600,0.0800,-0.8378,0.1641,-0.5207,Culturual  Heritage
exp_47,Scene6,Off,On,3.3800,3.4400,0.0600,-0.5069,0.1410,-0.8504,Culturual  Heritage
exp_47,Scene6,Off,On,3.5600,3.6800,0.1200,-0.2187,0.1167,-0.9688,Culturual  Heritage
exp_47,Scene6,Off,On,3.7200,3.8000,0.0800,-0.2054,0.1208,-0.9712,Culturual  Heritage
exp_47,Scene6,Off,On,3.9800,4.0400,0.0600,-0.0459,0.1351,-0.9898,Culturual  Heritage
exp_47,Scene6,Off,On,4.2600,4.3200,0.0600,-0.0678,0.2968,-0.9525,Culturual  Heritage
exp_47,Scene6,Off,On,4.5400,4.6400,0.1000,-0.0302,0.2772,-0.9603,Culturual  Heritage
exp_47,Scene6,Off,On,5.4000,5.5400,0.1400,0.0073,0.6623,-0.7492,Others
exp_47,Scene6,Off,On,5.6000,5.6600,0.0600,-0.0638,0.7593,-0.6476,Others
exp_47,Scene6,Off,On,5.7000,5.8000,0.1000,-0.0554,0.7470,-0.6625,Others
exp_47,Scene6,Off,On,6.5400,6.7000,0.1600,-0.0331,-0.0695,-0.9970,Culturual  Heritage
exp_47,Scene6,Off,On,6.7400,6.8000,0.0600,-0.0470,-0.0974,-0.9941,Culturual  Heritage
exp_47,Scene6,Off,On,7.1600,7.2400,0.0800,-0.0275,-0.3966,-0.9176,Culturual  Heritage
exp_47,Scene6,Off,On,7.8600,7.9200,0.0600,-0.0661,-0.5171,-0.8533,Culturual  Heritage
exp_47,Scene6,Off,On,8.4600,8.5200,0.0600,-0.2642,-0.0989,-0.9594,Culturual  Heritage
exp_47,Scene6,Off,On,8.7000,8.8000,0.1000,-0.4743,0.0081,-0.8803,Culturual  Heritage
exp_47,Scene6,Off,On,9.2200,9.3600,0.1400,-0.9079,0.1583,-0.3882,Culturual  Heritage
exp_47,Scene6,Off,On,9.5800,9.7000,0.1200,-0.9521,0.1842,-0.2440,Culturual  Heritage
exp_47,Scene6,Off,On,9.8400,9.9400,0.1000,-0.9586,0.1637,0.2331,Culturual  Heritage
exp_47,Scene6,Off,On,9.9800,10.2600,0.2800,-0.9568,0.1543,0.2466,Culturual  Heritage
exp_47,Scene6,Off,On,10.3800,10.4400,0.0600,-0.9545,0.1687,0.2460,Culturual  Heritage
exp_47,Scene6,Off,On,10.5200,10.5800,0.0600,-0.9778,0.0210,0.2083,Culturual  Heritage
exp_47,Scene6,Off,On,10.6400,10.7000,0.0600,-0.9760,0.0010,0.2180,Culturual  Heritage
exp_47,Scene6,Off,On,10.8800,11.0800,0.2000,-0.6619,0.0455,0.7482,Tamed nature
exp_47,Scene6,Off,On,12.1000,12.1600,0.0600,-0.2264,0.1717,0.9588,Tamed nature
exp_47,Scene6,Off,On,12.3200,12.4200,0.1000,-0.0981,0.1478,0.9841,Culturual  Heritage
exp_47,Scene6,Off,On,12.5600,12.7800,0.2200,0.1123,0.1307,0.9850,Culturual  Heritage
exp_47,Scene6,Off,On,12.8400,12.9400,0.1000,0.2161,0.0815,0.9730,Culturual  Heritage
exp_47,Scene6,Off,On,13.0000,13.1600,0.1600,0.2693,0.0866,0.9591,Culturual  Heritage
exp_47,Scene6,Off,On,13.2000,13.3800,0.1800,0.2536,0.1018,0.9619,Culturual  Heritage
exp_47,Scene6,Off,On,13.4600,13.5400,0.0800,0.4288,0.1148,0.8961,Culturual  Heritage
exp_47,Scene6,Off,On,13.6000,13.6600,0.0600,0.4303,0.1296,0.8934,Culturual  Heritage
exp_47,Scene6,Off,On,13.8000,13.9800,0.1800,0.3988,0.2488,0.8826,Culturual  Heritage
exp_47,Scene6,Off,On,14.1200,14.2000,0.0800,0.6031,-0.0754,0.7941,Culturual  Heritage
exp_47,Scene6,Off,On,14.2400,14.3000,0.0600,0.4732,0.1906,0.8601,Culturual  Heritage
exp_47,Scene6,Off,On,14.9200,15.1000,0.1800,0.7922,0.0923,0.6033,Tamed nature
exp_47,Scene6,Off,On,15.1600,15.2400,0.0800,0.8243,0.1950,0.5315,Culturual  Heritage
exp_47,Scene6,Off,On,15.2800,15.3400,0.0600,0.8484,0.1796,0.4980,Culturual  Heritage
exp_47,Scene6,Off,On,15.7000,15.7800,0.0800,0.9889,0.1327,0.0668,Culturual  Heritage
exp_47,Scene6,Off,On,15.8200,16.2400,0.4200,0.9859,0.1478,0.0787,Culturual  Heritage
exp_47,Scene6,Off,On,16.2800,16.3600,0.0800,0.9874,0.1359,0.0810,Culturual  Heritage
exp_47,Scene6,Off,On,16.7400,16.8000,0.0600,0.7541,0.1354,0.6427,Tamed nature
exp_47,Scene6,Off,On,17.0800,17.2200,0.1400,0.2923,0.0657,0.9541,Culturual  Heritage
exp_47,Scene6,Off,On,17.2800,17.5000,0.2200,0.1790,0.0558,0.9823,Culturual  Heritage
exp_47,Scene6,Off,On,17.5600,17.8200,0.2600,0.1169,0.1449,0.9825,Culturual  Heritage
exp_47,Scene6,Off,On,17.8600,17.9800,0.1200,0.1377,0.1393,0.9806,Culturual  Heritage
exp_47,Scene6,Off,On,18.0600,18.1400,0.0800,0.0904,0.3006,0.9494,Culturual  Heritage
exp_47,Scene6,Off,On,18.2400,18.3000,0.0600,0.1270,0.2797,0.9516,Culturual  Heritage
exp_47,Scene6,Off,On,18.3400,18.4400,0.1000,0.2061,0.2406,0.9485,Culturual  Heritage
exp_47,Scene6,Off,On,18.5000,18.5600,0.0600,0.1408,0.2692,0.9527,Culturual  Heritage
exp_47,Scene6,Off,On,18.7000,18.7800,0.0800,0.1640,0.2913,0.9425,Culturual  Heritage
exp_47,Scene6,Off,On,18.9200,19.0800,0.1600,0.1413,0.3254,0.9350,Culturual  Heritage
exp_47,Scene6,Off,On,19.1200,19.3000,0.1800,0.1433,0.3145,0.9384,Culturual  Heritage
exp_47,Scene6,Off,On,19.3400,19.4400,0.1000,0.1809,0.3703,0.9111,Culturual  Heritage
exp_47,Scene6,Off,On,19.4800,19.6000,0.1200,0.2083,0.4511,0.8678,Others
exp_47,Scene6,Off,On,19.7200,19.8400,0.1200,0.0867,0.3670,0.9262,Culturual  Heritage
exp_47,Scene6,Off,On,19.8800,19.9400,0.0600,0.0927,0.3411,0.9354,Culturual  Heritage
exp_47,Scene6,Off,On,20.0400,20.1600,0.1200,0.1110,0.2924,0.9498,Culturual  Heritage
exp_47,Scene6,Off,On,20.2600,20.5000,0.2400,0.2116,0.1346,0.9680,Culturual  Heritage
exp_47,Scene6,Off,On,20.5400,20.6800,0.1400,0.2166,0.1641,0.9624,Culturual  Heritage
exp_47,Scene6,Off,On,20.7600,21.0000,0.2400,0.2451,0.0992,0.9644,Culturual  Heritage
exp_47,Scene6,Off,On,21.0400,21.2600,0.2200,0.2569,0.0735,0.9637,Culturual  Heritage
exp_47,Scene6,Off,On,21.3000,21.4000,0.1000,0.2404,0.0834,0.9671,Culturual  Heritage
exp_47,Scene6,Off,On,21.4400,21.5200,0.0800,0.1722,0.1246,0.9771,Culturual  Heritage
exp_47,Scene6,Off,On,21.5600,21.6200,0.0600,0.2027,0.1177,0.9721,Culturual  Heritage
exp_47,Scene6,Off,On,21.7800,21.8400,0.0600,0.2530,0.2338,0.9388,Culturual  Heritage
exp_47,Scene6,Off,On,22.0200,22.0800,0.0600,0.6478,0.1845,0.7391,Culturual  Heritage
exp_47,Scene6,Off,On,22.1400,22.3200,0.1800,0.6588,0.1794,0.7306,Culturual  Heritage
exp_47,Scene6,Off,On,22.3600,22.4800,0.1200,0.6692,0.1663,0.7242,Culturual  Heritage
exp_47,Scene6,Off,On,22.7200,22.8200,0.1000,0.9451,0.1742,0.2764,Tamed nature
exp_47,Scene6,Off,On,22.9600,23.2000,0.2400,0.9878,0.1398,0.0680,Culturual  Heritage
exp_47,Scene6,Off,On,23.2400,23.3600,0.1200,0.9876,0.1115,-0.1110,Culturual  Heritage
exp_47,Scene6,Off,On,23.4000,23.5400,0.1400,0.9886,0.1225,-0.0876,Tamed nature
exp_47,Scene6,Off,On,23.6000,23.7400,0.1400,0.9415,0.0968,-0.3227,Culturual  Heritage
exp_47,Scene6,Off,On,23.7800,23.9200,0.1400,0.9481,0.1150,-0.2963,Tamed nature
exp_47,Scene6,Off,On,24.1600,24.2200,0.0600,0.9716,0.1494,0.1834,Tamed nature
exp_47,Scene6,Off,On,24.4400,24.5400,0.1000,0.7730,0.2058,0.6001,Culturual  Heritage
exp_47,Scene6,Off,On,25.0200,25.0800,0.0600,-0.1578,0.1225,0.9799,Tamed nature
exp_47,Scene6,Off,On,25.1200,25.1800,0.0600,-0.1826,0.1025,0.9778,Tamed nature
exp_47,Scene6,Off,On,25.3400,25.6800,0.3400,-0.5629,0.1337,0.8157,Culturual  Heritage
exp_47,Scene6,Off,On,25.7200,25.8800,0.1600,-0.5989,0.1150,0.7925,Tamed nature
exp_47,Scene6,Off,On,26.0800,26.1800,0.1000,-0.8313,0.1389,0.5381,Tamed nature
exp_47,Scene6,Off,On,26.3600,26.4400,0.0800,-0.9247,0.1430,0.3528,Culturual  Heritage
exp_47,Scene6,Off,On,26.5000,26.5600,0.0600,-0.9339,0.1394,0.3293,Culturual  Heritage
exp_47,Scene6,Off,On,26.6200,26.6800,0.0600,-0.9570,0.2060,0.2042,Culturual  Heritage
exp_47,Scene6,Off,On,26.7200,26.8600,0.1400,-0.9622,0.1865,0.1985,Culturual  Heritage
exp_47,Scene6,Off,On,26.9000,27.0000,0.1000,-0.9694,0.1664,0.1802,Culturual  Heritage
exp_47,Scene6,Off,On,27.0800,27.2800,0.2000,-0.9856,0.1020,-0.1348,Culturual  Heritage
exp_47,Scene6,Off,On,27.3200,27.4000,0.0800,-0.9820,0.0959,-0.1627,Culturual  Heritage
exp_47,Scene6,Off,On,27.5600,27.6200,0.0600,-0.7972,0.1744,-0.5780,Culturual  Heritage
exp_47,Scene6,Off,On,27.6600,27.7200,0.0600,-0.7960,0.1572,-0.5845,Culturual  Heritage
exp_47,Scene6,Off,On,27.7800,27.8600,0.0800,-0.7909,0.1665,-0.5888,Culturual  Heritage
exp_47,Scene6,Off,On,27.9400,28.0600,0.1200,-0.6224,0.1777,-0.7623,Culturual  Heritage
exp_47,Scene6,Off,On,28.1800,28.2400,0.0600,-0.4704,0.3029,-0.8288,Culturual  Heritage
exp_47,Scene6,Off,On,28.2800,28.3400,0.0600,-0.4812,0.2825,-0.8299,Culturual  Heritage
exp_47,Scene6,Off,On,28.8600,28.9200,0.0600,0.1205,0.1387,-0.9830,Culturual  Heritage
exp_47,Scene6,Off,On,29.0400,29.2600,0.2200,0.1296,0.1337,-0.9825,Culturual  Heritage
