user,followers_count,friends_count,retweet_count,favorite_count,text
ThierryMotyLoic,1874,2051,15,0,RT @Europe_Israel: Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnesty et…
dan_teb,33,157,15,0,RT @Europe_Israel: Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnesty et…
sQuishChick_Oz,823,1187,6,0,"RT @Carrotsandpars1: @nround6 @HempleLouise The issue with the vaccine is that it's actually killing more.  Research from Israel.
It's a lo…"
itsraimisyahmi,11455,778,0,2,"""Saya dah kaji vaccine sampai,, sampai... sampai presiden israel""

-kata kata daripada seorang pemakan panadol camp… https://t.co/MddVh9PPFO"
Europe_Israel,15818,787,15,17,Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnes… https://t.co/Z6yNzrJFtB
ulv4nur,1081,667,2,0,"RT @amnfdhl__: Kalau israel yang buat vaccine tu kan, asal dorang juga yang ambik dulu vaccine tu? Then kenapa dorang perlu serang palestin…"
wiggerl2008,52,363,1,0,"RT @wiggerl2008: ISRAEL WEISS GENAU WO
WAS IN GAZA IST!

DARUM WURDE AUCH DIE
KLINIK BOMBARDIERT, IN
DER DIE C O V I D VACCINE
LAGERTEN.

U…"
aisyahzck_,82,76,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
satisekar,225,146,0,1,"@arxxxxmand Lol kaji tapi treat viral infection guna antibiotic. Mendeeeee. 

Pastu tiberrrrrrr israel. Tiberrr nuc… https://t.co/MOlL3AhYkL"
TheSeekerFX,1243,1377,0,0,From The Economist Espresso: Fighting continues in Israel and Gaza; India delays vaccine exports https://t.co/mV2cq3Kw4r
amnfdhl__,11215,12335,2,3,"Kalau israel yang buat vaccine tu kan, asal dorang juga yang ambik dulu vaccine tu? Then kenapa dorang perlu serang… https://t.co/b6pkEWS5aX"
wardinaasyura,43,45,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
deskold,63,316,0,0,@Undergroundsar3 @My2puppies1 @JeanmarcBenoit https://t.co/ohYvf6J1R3
atpittam,1352,2037,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
DeniseMembery,5102,5370,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
UKinTaiwan,9812,616,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
ketaminh,23742,6873,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
jainmukesh157,28,285,0,1,@rajat_sahu_ @HinduEcosystem_ He needs vaccine from israel
AlcedEternal,505,1476,0,2,"@justmefritziemd @Dreapi44 @SeniorCSupreme @MartinBravoMD @iAmSuperPissed Meanwhile, Pfizer has been documented to… https://t.co/zSOgkTZ6J1"
TaiwanAbroad,320,423,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
luqmannyamiin,13432,1663,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
JohnDennisFCO,745,269,8,40,"Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with… https://t.co/MsLaVhZXpj"
njvvae,53,74,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
nofadgaf_,655,600,0,1,@eriinnana Dah kaji sampai presiden israel. Sebelah nuclear ada vaccine. Apooooo!!!!
Isa_Ksv,100,178,39,0,RT @MusaubKhanMD: Israel’s vaccination success is predicated on denying Palestinians the vaccine. When Israel vaccinated 50% of their popul…
youssoy,173,22,0,0,Je parie qu'il a été vacciné avant tout le monde peut être même en Israël ! Tant mieux pour lui ! https://t.co/TSAs6wEq99
3salmon,2774,2839,5,0,"RT @alexillest: Hey, Biden administration! Instead of approving a $735 million weapon sale to Israel, maybe approve a larger vaccine sale t…"
maaohmaa,394,729,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
robmcd85,64319,45529,5,0,"RT @alexillest: Hey, Biden administration! Instead of approving a $735 million weapon sale to Israel, maybe approve a larger vaccine sale t…"
equalityconcern,8990,337,5,0,"RT @alexillest: Hey, Biden administration! Instead of approving a $735 million weapon sale to Israel, maybe approve a larger vaccine sale t…"
MaddyBR01,5,495,0,0,@majorgauravarya Bloody Jihaad is a Virus to which Israel is the vaccine.
gnunis1892,722,415,3,0,RT @Twentytwo13news: Prof Emeritus Datuk Mohamed Ghouse Nasuruddin says there must be a concerted and sincere effort to end decades-long vi…
ariesyakahar,515,212,0,1,What is this behaviour of people condemning that vaccine comes from israel la nanti mati lah....like bodoh weh tolonglah aku pernadt 😫
PrincessMarthaD,2747,572,274,0,"RT @charlesbrew: Are There Studies of Vaccine vs. Natural Immunity from Covid?

Yes, there is one that covers the entire population of Isra…"
AD_Cr5,7,250,5,0,RT @shahzainnpk: Israel needs another dose of that vaccine  #SaveGazaFromZionists https://t.co/a4ZRuKxdFM
farisyyyya,388,495,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
heemawari,350,262,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
NewsPerpetual,12,19,0,0,PPN World News Headlines - 18 May 2021 | Israel vs Gaza | Cyclone in India | Spain Migrant Rush… https://t.co/1t6eDVv9cA
